,Anza,Carrizo,Cholame,Coachella,Garlock,Mojave
315,43,18,18,33,66,18
316,40,17,19,32,50,18
317,42,17,18,34,69,20
318,43,20,18,30,33,16
319,41,18,16,32,99,18
320,46,18,19,31,119,16
321,42,17,16,34,95,17
322,37,17,16,32,98,18
323,44,19,18,24,70,19
324,39,18,18,34,36,17
325,41,18,17,30,21,20
326,34,16,22,32,74,17
327,45,17,17,31,57,15
328,48,18,20,27,53,17
329,42,16,17,33,75,19
330,40,17,21,32,25,22
331,27,15,14,30,30,21
332,36,18,18,32,61,20
333,32,17,17,33,58,20
334,35,19,14,32,47,17
335,43,18,18,22,6,18
336,21,18,16,35,68,19
337,18,18,16,34,6,18
338,18,17,16,35,62,19
339,31,16,18,33,61,16
340,40,18,17,30,62,16
341,39,19,19,31,47,19
342,37,18,13,34,96,14
343,41,18,15,28,65,21
344,45,16,20,27,58,19
345,14,19,18,28,77,17
346,19,16,17,29,6,21
347,43,16,17,35,49,22
348,40,18,14,35,72,19
349,42,18,17,32,84,20
350,39,17,18,33,49,21
351,26,18,18,31,64,18
352,25,3,20,35,50,17
353,38,9,16,29,82,17
354,39,7,18,26,43,19
355,48,13,16,29,16,18
356,39,17,17,34,80,18
357,43,12,18,32,76,15
358,41,15,19,22,63,19
359,42,14,17,33,83,16
360,45,18,20,29,26,19
361,35,17,17,27,74,23
362,33,14,15,29,54,19
363,47,18,17,27,51,16
364,41,16,19,32,63,19
365,42,16,16,30,45,20
366,41,16,17,34,78,18
367,23,18,16,30,14,18
368,30,17,16,31,44,17
369,27,19,17,32,56,20
370,20,13,17,31,63,16
371,16,15,18,32,52,17
372,31,20,19,29,78,19
373,39,18,18,28,23,20
374,40,17,18,36,44,16
375,45,12,17,32,64,18
376,44,4,16,31,77,19
377,44,14,19,32,45,20
378,40,17,17,30,10,19
379,30,18,18,34,77,22
380,45,18,19,33,57,19
381,37,20,17,26,51,19
382,32,16,17,33,116,19
383,42,18,17,32,94,16
384,42,16,19,33,49,18
385,45,17,16,24,75,16
386,46,18,17,27,115,19
387,40,19,16,27,56,21
388,38,17,18,32,60,20
389,39,20,17,28,88,18
390,44,17,17,27,80,20
391,42,15,15,28,18,18
392,42,17,14,30,50,21
393,45,19,13,31,65,19
394,43,16,12,31,19,20
395,43,17,19,25,24,19
396,45,16,15,29,69,14
397,40,16,16,26,68,17
398,43,17,17,32,58,19
399,41,17,16,31,96,18
400,41,18,18,28,68,22
401,45,19,16,31,50,21
402,38,18,18,30,52,17
403,39,18,17,29,51,22
404,45,17,18,33,17,17
405,42,16,17,30,74,18
406,46,19,14,32,80,18
407,43,17,17,28,20,17
408,41,18,18,29,40,16
409,22,19,18,30,55,17
410,25,17,15,26,55,21
411,41,17,21,34,45,22
412,38,17,20,32,41,22
413,23,19,16,26,79,23
414,29,16,18,35,99,17
415,42,17,15,32,124,20
416,44,16,18,36,57,19
417,38,18,20,28,53,18
418,46,17,13,25,134,21
419,46,17,16,31,85,18
420,40,15,16,34,44,21
421,22,14,19,34,56,18
422,17,16,17,28,47,21
423,23,15,18,26,61,22
424,23,13,18,30,78,21
425,11,15,16,32,47,20
426,18,16,16,35,115,18
427,21,17,16,27,42,16
428,45,16,15,32,75,21
429,44,18,18,29,128,20
430,41,16,16,30,74,20
431,44,18,18,33,49,16
432,40,17,16,35,71,20
433,40,18,12,30,41,21
434,47,17,18,26,78,23
435,41,14,15,31,9,18
436,34,17,14,32,51,17
437,41,18,13,31,46,16
438,43,18,20,33,80,18
439,40,15,17,28,54,23
440,42,21,19,28,81,20
441,43,20,18,32,38,21
442,30,16,14,31,9,21
443,19,18,17,36,67,17
444,17,15,19,28,41,19
445,34,18,19,32,48,19
446,33,20,12,35,69,19
447,34,13,17,28,69,19
448,35,2,18,27,54,17
449,43,13,18,29,76,10
450,43,16,17,32,35,6
451,44,19,15,33,26,12
452,41,17,18,25,59,21
453,41,18,18,34,68,18
454,28,18,17,32,43,19
455,41,16,17,26,25,18
456,46,16,16,29,75,17
457,46,16,16,34,123,22
458,27,15,13,32,106,19
459,24,18,2,33,79,20
460,40,12,12,32,52,21
461,43,14,15,34,68,19
462,41,16,15,35,36,18
463,39,20,11,33,32,18
464,47,18,18,32,55,20
465,44,15,19,24,131,20
466,42,14,19,34,71,17
467,39,19,16,30,52,19
468,45,14,15,27,72,17
469,39,17,17,32,67,17
470,41,19,16,31,87,17
471,43,18,17,35,20,17
472,41,14,15,27,34,16
473,38,17,15,30,64,18
474,42,19,21,29,66,16
475,44,19,18,26,23,19
476,45,12,19,31,76,18
477,46,17,20,29,103,19
478,47,18,17,29,139,18
479,39,18,16,19,89,21
480,46,17,17,29,60,15
481,41,15,14,27,33,20
482,47,18,16,30,21,21
483,49,18,16,35,78,20
484,43,17,18,31,77,18
485,48,17,17,34,15,20
486,39,16,16,23,39,20
487,29,14,18,31,79,21
488,27,15,18,31,110,22
489,39,15,17,26,77,20
490,33,11,18,34,37,22
491,30,3,18,27,90,19
492,40,15,13,30,27,13
493,39,16,17,32,8,22
494,43,13,16,30,73,23
495,29,19,15,32,22,17
496,40,19,19,36,30,19
497,42,16,16,34,73,16
498,42,15,14,29,79,19
499,40,17,18,27,28,21
500,38,16,15,34,100,20
501,43,17,16,30,70,20
502,42,15,16,31,31,17
503,37,15,15,29,31,17
504,44,16,17,30,76,18
505,22,14,17,33,110,17
506,30,17,20,31,52,17
507,50,10,16,27,59,18
508,46,8,17,35,75,21
509,45,11,16,22,17,19
510,42,4,16,24,52,17
511,42,12,16,37,63,13
512,43,5,14,26,74,20
513,38,10,15,27,52,21
514,43,17,16,35,74,19
515,43,14,18,26,26,19
516,46,16,15,24,25,22
517,42,16,16,25,73,15
518,39,18,17,31,56,18
519,40,17,19,32,55,18
520,43,16,17,31,16,21
521,43,18,17,27,52,21
522,39,18,17,32,106,21
523,44,17,17,31,126,15
524,14,18,16,33,50,18
525,27,18,18,31,120,22
526,41,13,16,31,128,17
527,37,17,17,29,87,22
528,36,16,17,36,24,19
529,42,15,15,21,43,19
530,35,19,17,28,70,19
531,43,16,17,32,70,16
532,42,14,18,25,49,18
533,19,18,18,31,77,21
534,31,15,19,31,28,18
535,41,16,18,28,22,21
536,41,16,14,34,51,19
537,39,15,12,32,57,19
538,45,17,19,26,65,20
539,38,17,16,32,33,20
540,44,20,11,33,34,20
541,35,16,5,31,64,20
542,42,17,11,29,38,19
543,40,16,16,30,25,14
544,45,16,14,27,88,18
545,25,16,19,28,38,22
546,33,14,16,28,84,20
547,41,15,18,17,90,19
548,40,16,18,29,39,20
549,33,18,11,35,105,18
550,42,11,3,30,110,21
551,32,3,13,28,81,22
552,35,16,16,36,16,22
553,33,17,16,26,47,17
554,37,19,17,32,68,20
555,36,17,16,34,2,20
556,46,17,15,30,48,19
557,39,17,17,25,54,20
558,42,17,15,30,57,19
559,42,16,18,31,50,20
560,36,18,18,31,76,17
561,41,16,19,31,44,20
562,45,19,16,30,15,13
563,43,15,18,32,50,17
564,42,15,18,31,53,16
565,41,17,17,33,74,20
566,44,17,12,31,46,21
567,42,18,15,27,67,21
568,39,18,16,35,27,22
569,42,19,17,29,38,14
570,38,18,14,31,85,18
571,36,14,14,30,62,18
572,44,18,20,33,61,22
573,40,13,20,28,69,20
574,41,16,19,30,49,17
575,47,17,20,30,114,22
576,40,14,20,29,77,19
577,35,13,18,33,43,17
578,39,4,18,29,84,20
579,42,9,18,33,76,20
580,39,9,17,26,75,20
581,41,9,17,31,25,21
582,39,6,18,28,86,19
583,45,9,18,36,58,18
584,46,10,18,28,64,18
585,44,7,17,36,63,20
586,42,10,16,33,56,19
587,42,19,18,36,75,20
588,35,17,16,26,57,20
589,45,16,17,30,69,20
590,34,16,16,28,13,20
591,38,17,15,31,42,18
592,44,16,18,26,67,18
593,39,15,15,20,19,18
594,34,17,18,25,93,19
595,42,15,17,31,72,15
596,38,18,16,30,57,17
597,31,18,18,35,74,16
598,38,19,17,32,78,19
599,17,16,14,30,12,21
600,27,18,14,27,45,20
601,38,18,15,25,66,17
602,43,11,17,36,58,16
603,24,5,17,31,51,15
