,Anza,Carrizo,Cholame,Coachella,Garlock,Mojave
990,41,10,15,33,71,15
991,31,3,19,28,15,17
992,40,12,17,29,46,19
993,38,20,17,35,70,20
994,38,17,17,32,70,21
995,40,17,18,29,51,21
996,42,18,17,33,73,20
997,46,20,17,34,48,17
998,40,16,16,34,129,20
999,38,18,15,33,139,17
1000,40,18,16,36,76,19
1001,42,18,17,30,36,17
1002,39,18,18,29,82,18
1003,43,15,15,33,9,18
1004,44,18,17,29,65,18
1005,39,16,16,33,66,18
1006,39,18,20,35,33,19
1007,44,15,19,28,74,16
1008,40,16,19,32,64,19
1009,48,17,18,30,42,21
1010,40,18,19,33,69,20
1011,43,18,13,28,22,20
1012,40,14,16,32,31,20
1013,44,14,15,28,81,22
1014,42,19,15,31,69,21
1015,31,18,15,31,44,20
1016,40,15,13,34,105,22
1017,34,19,16,31,13,20
1018,31,18,16,28,77,22
1019,20,19,18,21,60,17
1020,12,16,15,28,59,18
1021,27,20,17,31,73,14
1022,40,17,15,33,36,20
1023,44,16,20,29,68,19
1024,33,15,16,25,59,18
1025,41,16,19,34,68,18
1026,40,17,13,31,38,16
1027,47,12,16,27,72,17
1028,47,4,21,22,38,18
1029,44,14,13,32,16,20
1030,41,16,15,31,84,19
1031,44,16,11,32,58,17
1032,40,17,17,28,61,18
1033,43,17,16,33,78,22
1034,45,19,18,29,47,22
1035,41,16,14,32,58,18
1036,44,19,18,34,67,19
1037,42,16,18,31,57,18
1038,43,17,16,30,59,19
1039,39,19,13,27,76,17
1040,26,15,19,29,46,18
1041,38,15,16,33,133,18
1042,26,19,17,26,63,17
1043,45,17,17,30,50,16
1044,47,19,15,34,64,21
1045,39,15,12,30,58,14
1046,41,18,14,31,77,18
1047,23,17,12,27,57,18
1048,25,17,19,36,75,20
1049,34,16,16,30,20,20
1050,43,15,15,28,31,20
1051,24,16,17,31,65,20
1052,24,17,19,27,68,18
1053,42,18,17,33,34,20
1054,41,15,17,33,32,17
1055,41,17,19,28,59,20
1056,42,16,17,31,38,11
1057,41,20,16,32,20,10
1058,42,19,14,33,63,21
1059,46,19,15,31,28,18
1060,42,18,16,32,46,17
1061,43,19,18,33,57,20
1062,44,13,17,28,86,21
1063,23,3,21,19,28,22
1064,40,12,13,29,19,18
1065,41,15,17,30,62,20
1066,38,15,17,32,68,22
1067,39,10,17,36,57,21
1068,40,4,17,29,112,20
1069,38,13,17,30,113,20
1070,43,16,17,29,60,17
1071,38,16,14,31,51,18
1072,32,18,15,30,70,19
1073,23,15,15,29,31,20
1074,20,17,14,32,26,17
1075,43,15,13,32,72,19
1076,39,12,18,33,63,20
1077,39,17,7,30,68,20
1078,41,15,7,32,68,19
1079,44,10,12,33,57,18
1080,43,5,15,26,118,21
1081,43,18,17,29,118,21
1082,11,12,19,31,73,21
1083,26,14,18,30,41,23
1084,24,13,17,33,63,22
1085,9,11,17,28,53,20
1086,20,15,15,30,120,19
1087,23,17,16,21,62,21
1088,43,16,18,24,52,20
1089,43,18,17,32,78,21
1090,46,14,11,32,35,18
1091,37,18,5,29,83,19
1092,40,18,7,31,45,15
1093,43,16,8,30,55,19
1094,37,13,11,35,60,21
1095,43,19,13,32,60,18
1096,25,16,18,31,49,19
1097,26,17,17,33,72,20
1098,30,17,18,34,47,21
1099,41,14,19,30,58,22
1100,24,13,19,26,68,18
1101,15,14,17,30,69,21
1102,21,12,19,31,25,20
1103,42,3,15,29,22,23
1104,44,15,15,30,98,17
1105,44,16,17,29,58,19
1106,44,15,16,32,83,19
1107,41,17,17,30,66,17
1108,38,10,19,29,61,20
1109,41,8,14,30,77,22
1110,38,6,17,32,50,20
1111,40,10,20,26,124,19
1112,46,17,18,35,67,19
1113,40,19,18,27,61,19
1114,44,17,17,32,44,22
1115,43,16,14,30,76,18
1116,39,14,17,30,2,19
1117,46,15,19,27,31,19
1118,39,10,17,28,64,18
1119,37,5,18,27,72,21
1120,17,10,18,32,45,21
1121,20,7,14,30,73,21
1122,44,7,14,33,51,20
1123,44,9,17,26,70,21
1124,44,8,14,32,19,16
1125,39,12,22,31,43,17
1126,42,13,19,24,55,19
1127,38,17,19,33,66,19
1128,41,17,11,28,30,15
1129,39,17,5,24,99,18
1130,42,17,9,25,65,19
1131,43,17,7,32,51,17
1132,41,17,8,35,54,19
1133,39,14,10,30,65,17
1134,46,15,7,34,59,18
1135,44,15,11,32,81,16
1136,40,14,16,34,61,18
1137,36,13,18,29,28,19
1138,39,18,16,30,35,18
1139,41,15,16,32,64,17
1140,43,14,14,25,73,16
1141,34,13,14,31,34,17
1142,41,17,15,32,20,20
1143,43,19,16,30,59,20
1144,39,18,19,34,66,20
1145,35,17,17,30,27,19
1146,45,17,17,29,23,16
1147,25,15,16,30,72,17
1148,27,16,16,35,61,19
1149,42,11,18,26,40,19
1150,43,17,16,31,21,20
1151,43,18,17,28,72,21
1152,44,13,18,28,68,19
1153,42,15,16,33,46,21
1154,41,18,0,32,67,21
1155,40,18,7,28,50,20
1156,37,17,7,33,132,19
1157,45,18,2,30,69,19
1158,40,19,10,28,59,19
1159,38,19,8,31,61,20
1160,38,17,6,31,50,19
1161,35,19,10,29,83,19
1162,41,15,19,38,24,14
1163,41,15,17,36,32,17
1164,42,17,18,28,83,16
1165,38,16,15,32,70,15
1166,36,17,14,29,47,16
1167,41,19,18,36,48,19
1168,47,14,19,33,53,18
1169,42,17,17,34,116,21
1170,40,20,18,25,60,13
1171,42,18,18,34,51,20
1172,17,18,17,32,126,20
1173,25,17,16,31,139,23
1174,30,14,17,32,109,18
1175,36,17,18,32,90,19
1176,33,19,18,31,34,20
1177,30,17,18,32,28,21
1178,23,18,17,26,62,20
1179,46,18,16,32,68,20
1180,40,14,16,31,58,20
1181,38,3,19,33,129,20
1182,43,10,18,34,71,18
1183,38,17,13,26,57,20
1184,42,14,18,27,69,22
1185,46,11,12,30,33,18
1186,43,10,6,28,13,23
1187,42,8,9,30,77,18
1188,37,10,14,34,76,20
1189,43,10,18,28,42,18
1190,37,20,19,32,73,20
1191,42,15,19,34,46,18
1192,41,16,16,27,74,16
1193,41,18,20,27,45,12
1194,40,16,17,30,81,21
1195,20,11,17,30,78,20
1196,21,18,14,29,19,17
1197,44,16,14,32,37,16
1198,46,16,13,31,61,19
1199,40,8,16,35,53,18
1200,40,5,17,29,61,19
1201,45,14,14,19,65,20
1202,40,15,17,28,54,20
1203,38,16,18,31,81,18
1204,41,19,17,34,53,21
1205,43,17,16,26,113,19
1206,40,17,20,23,76,20
1207,44,16,19,37,42,12
1208,44,16,16,33,17,20
1209,47,18,16,27,68,17
1210,42,16,19,35,104,17
1211,43,17,20,26,111,18
1212,42,18,17,33,72,20
1213,40,16,21,22,44,19
1214,38,3,17,32,56,20
1215,41,12,9,27,62,16
1216,46,6,9,19,91,17
1217,42,6,13,31,44,17
1218,30,10,10,33,110,20
1219,31,15,11,31,57,19
1220,41,19,15,31,52,17
1221,41,17,16,31,138,18
1222,41,18,15,28,69,18
1223,43,15,16,35,57,15
1224,40,14,20,27,72,19
1225,39,18,14,31,41,18
1226,26,19,17,35,72,17
1227,36,17,21,33,118,15
1228,32,18,17,32,115,21
1229,40,18,17,30,79,18
1230,38,17,17,25,27,17
1231,43,16,17,26,55,17
1232,40,17,17,17,64,20
1233,22,18,15,32,71,22
1234,24,18,18,28,50,18
1235,41,18,18,35,71,15
1236,39,17,13,30,47,21
1237,39,16,16,32,98,20
1238,42,16,17,29,61,14
1239,43,19,18,32,55,13
1240,44,18,16,31,51,4
1241,38,11,19,25,45,12
1242,39,18,17,34,77,20
1243,43,14,17,33,47,16
1244,44,16,15,30,10,18
1245,42,14,17,23,62,18
1246,41,2,19,17,52,20
1247,45,15,19,25,115,20
1248,43,19,17,29,81,19
1249,44,18,20,30,42,15
1250,41,0,16,33,14,20
1251,40,16,17,32,63,20
1252,38,20,20,33,29,20
1253,35,17,18,33,30,20
1254,40,17,18,30,51,20
1255,44,14,16,27,66,15
1256,41,12,15,34,119,20
1257,44,15,18,27,67,17
1258,42,16,14,34,28,23
1259,45,17,18,29,28,21
1260,42,14,18,31,78,17
1261,43,17,14,32,121,21
1262,44,11,12,35,110,17
1263,43,14,17,23,67,19
1264,42,14,18,31,53,22
1265,47,11,19,32,2,17
1266,43,6,17,28,47,19
1267,38,13,16,26,52,18
1268,39,19,16,28,117,22
1269,46,16,17,30,77,21
1270,47,16,14,25,49,20
1271,40,19,19,19,68,18
1272,25,20,15,30,48,18
1273,19,17,18,34,76,18
1274,16,13,19,23,17,17
1275,27,7,17,31,32,18
1276,40,10,19,33,70,18
1277,21,16,17,27,74,17
1278,21,17,12,27,22,20
1279,41,16,5,28,117,20
1280,38,13,10,30,70,21
1281,41,13,5,33,55,21
1282,41,16,10,31,71,16
1283,40,15,7,31,45,18
1284,35,16,9,26,83,21
1285,42,20,9,32,48,19
1286,42,14,9,34,83,22
1287,42,17,8,31,45,19
1288,45,20,10,22,86,11
1289,42,18,6,31,0,6
1290,40,13,9,32,61,8
1291,37,14,6,27,59,7
1292,47,15,9,29,54,11
1293,46,13,7,34,59,18
1294,46,10,13,28,53,19
1295,42,1,15,26,80,14
1296,43,15,16,33,69,17
1297,39,18,15,30,34,19
1298,43,18,19,35,75,19
1299,25,18,16,20,56,18
1300,27,19,17,17,108,14
1301,42,17,19,23,66,16
1302,36,10,14,26,52,17
1303,40,6,17,19,101,19
1304,43,9,16,25,119,20
1305,44,4,15,32,83,21
1306,41,14,16,30,26,18
1307,41,17,18,31,43,19
1308,39,17,13,31,74,20
1309,38,15,20,29,57,21
1310,35,17,18,34,49,20
1311,40,19,17,30,105,17
1312,42,19,16,32,42,21
1313,36,17,15,27,80,18
1314,41,20,14,29,54,19
1315,42,16,14,32,68,19
1316,41,17,14,28,66,19
1317,45,20,16,32,25,20
1318,43,18,21,33,27,19
1319,41,18,16,26,64,18
1320,42,16,18,19,103,19
1321,46,15,18,17,113,22
1322,43,18,17,33,81,20
1323,40,14,17,29,16,16
1324,39,4,16,31,52,19
1325,46,13,16,31,73,19
1326,44,18,18,28,76,16
1327,42,5,12,32,28,20
1328,31,8,16,32,99,16
1329,30,12,17,38,75,18
1330,38,17,18,26,57,19
1331,41,18,18,36,63,22
1332,43,19,17,28,55,18
1333,42,17,15,31,80,15
1334,40,16,11,33,24,20
1335,43,16,18,26,28,16
1336,41,12,17,31,59,19
1337,45,4,18,34,56,22
1338,39,14,23,30,17,21
1339,40,19,21,35,117,21
1340,42,15,17,29,114,18
1341,28,18,15,33,125,18
1342,40,19,18,33,78,18
1343,38,17,16,25,28,18
1344,41,19,17,31,40,17
1345,42,17,17,33,83,17
1346,33,18,18,22,57,19
1347,39,16,16,27,64,18
1348,42,18,17,35,58,18
1349,40,19,18,30,62,18
1350,36,18,2,27,61,22
1351,41,17,9,26,44,18
1352,33,16,7,25,27,20
1353,40,17,14,26,65,17
1354,38,13,18,25,58,19
1355,42,6,16,29,75,20
1356,41,13,16,33,27,20
1357,36,11,17,19,33,15
1358,38,15,16,18,69,17
1359,44,19,19,33,63,19
1360,40,16,18,28,38,18
1361,35,17,15,29,92,22
1362,30,19,15,33,57,21
1363,23,14,17,34,66,19
1364,27,17,18,27,79,18
1365,21,16,18,36,47,17
1366,32,15,18,30,75,21
1367,42,16,18,34,51,22
1368,40,18,18,28,75,21
1369,41,13,17,19,14,22
1370,40,20,16,16,41,18
1371,43,18,15,21,62,17
1372,43,17,17,36,62,19
1373,43,16,18,34,35,16
1374,42,15,17,34,17,17
1375,42,10,15,30,80,16
1376,44,3,18,35,95,22
1377,24,11,17,32,70,20
1378,28,17,17,33,50,21
1379,36,16,16,32,53,20
1380,39,21,14,24,59,18
1381,43,16,17,32,72,20
1382,27,18,16,30,49,21
1383,41,18,17,37,83,22
1384,41,17,18,29,46,20
1385,39,17,18,27,48,16
1386,39,16,15,19,57,16
1387,44,10,19,7,54,20
1388,30,5,18,37,50,18
1389,39,10,17,29,119,17
1390,34,20,15,36,61,20
1391,42,16,16,33,62,18
1392,39,17,19,35,65,19
1393,23,18,15,21,74,19
1394,20,18,17,35,78,15
1395,40,17,17,29,45,18
1396,36,15,17,29,122,23
1397,43,11,17,30,89,21
1398,38,6,14,31,31,16
1399,43,11,15,33,79,21
1400,40,6,17,34,112,19
1401,49,6,18,28,59,21
1402,20,9,16,33,43,20
1403,25,12,16,28,80,14
1404,22,5,18,31,0,21
1405,19,17,20,34,68,17
1406,38,21,16,33,70,20
1407,43,17,18,31,108,18
1408,48,15,18,27,127,18
1409,42,18,20,34,70,18
1410,44,16,17,35,48,23
1411,15,17,14,27,21,21
1412,25,17,17,26,60,20
1413,34,18,18,35,65,19
1414,47,16,17,29,74,21
1415,44,17,18,17,60,20
1416,41,18,19,19,68,11
1417,42,19,19,24,74,16
1418,40,15,17,29,42,16
1419,43,18,18,30,15,22
1420,40,16,16,30,76,21
1421,46,16,15,36,44,19
1422,42,17,14,26,13,21
1423,39,16,14,28,135,18
1424,47,19,15,19,78,20
1425,39,18,19,17,52,16
1426,42,15,13,29,52,21
1427,19,15,15,26,51,21
1428,18,17,18,27,75,22
1429,46,18,18,35,89,21
1430,39,18,15,33,48,20
1431,44,18,22,27,9,21
1432,46,18,14,31,84,20
1433,44,18,15,33,68,18
1434,43,17,13,32,43,20
1435,25,16,17,24,100,21
1436,39,14,14,32,25,21
1437,24,0,10,29,70,18
1438,42,17,16,32,74,21
1439,44,18,9,31,39,19
1440,43,17,8,33,69,21
1441,41,15,9,31,51,22
1442,26,18,9,30,60,22
1443,26,17,8,34,38,20
1444,45,17,9,26,43,17
1445,45,16,7,32,73,17
1446,42,14,12,32,103,16
1447,45,17,20,25,75,18
1448,42,16,16,33,43,22
1449,39,17,18,32,74,17
1450,43,18,17,31,19,20
1451,46,18,18,28,47,19
1452,43,15,18,29,56,18
1453,41,19,15,28,121,22
1454,46,18,16,32,62,20
1455,40,17,18,27,59,20
1456,45,15,18,32,123,22
1457,44,16,16,31,63,16
1458,41,19,20,33,73,19
1459,41,15,19,29,75,20
1460,38,17,19,35,57,18
1461,42,17,16,34,82,19
1462,37,17,18,35,51,15
1463,47,17,18,26,131,16
1464,35,14,16,27,103,19
1465,35,15,17,30,7,16
1466,48,17,17,34,50,16
1467,25,18,19,30,78,16
1468,42,16,19,19,60,18
1469,22,16,16,19,51,19
1470,15,18,16,28,55,22
1471,20,20,16,34,60,17
1472,31,16,17,30,67,19
1473,36,18,15,30,58,21
1474,41,18,14,31,128,11
1475,38,20,17,29,74,15
1476,43,17,13,30,50,11
1477,40,14,18,33,97,5
1478,45,17,18,30,33,12
1479,19,18,19,32,53,21
1480,34,17,18,31,52,17
1481,40,18,18,30,128,18
1482,47,19,13,33,51,17
1483,43,19,20,32,58,21
1484,42,17,15,30,70,20
1485,28,18,14,29,54,10
1486,28,16,16,32,49,7
1487,41,15,16,26,52,10
1488,48,14,14,18,66,9
1489,42,14,14,26,42,8
1490,40,15,18,33,29,11
1491,44,12,17,34,80,19
1492,20,20,18,33,55,21
1493,30,15,16,27,67,19
1494,41,18,17,31,61,17
1495,43,18,13,30,38,17
1496,34,15,15,29,32,20
1497,17,14,15,27,74,17
1498,23,7,19,32,68,19
1499,43,11,17,35,33,18
1500,42,18,18,23,28,18
1501,43,13,20,29,77,16
1502,38,17,16,18,66,17
1503,41,16,14,26,48,19
1504,44,16,15,35,58,18
1505,45,18,16,28,56,22
1506,45,18,17,28,130,21
1507,46,18,13,29,57,21
1508,41,17,16,29,49,16
1509,43,12,18,28,62,18
1510,34,5,18,28,53,19
1511,41,14,17,31,65,22
1512,43,16,16,31,41,20
1513,38,18,18,30,58,22
1514,41,17,16,33,55,21
1515,31,18,15,29,66,19
1516,20,18,18,34,18,16
1517,11,15,18,25,38,20
1518,24,16,18,34,74,21
1519,21,18,18,31,58,18
1520,19,18,17,34,71,18
1521,40,16,17,27,76,21
1522,48,20,19,32,39,19
1523,44,19,18,30,87,22
1524,31,19,18,32,53,21
1525,43,16,18,32,93,21
1526,48,18,16,32,82,21
1527,43,18,18,29,41,19
1528,44,16,15,33,78,21
1529,42,17,17,32,9,20
1530,37,17,18,27,45,17
1531,43,19,17,30,55,17
1532,38,19,14,30,73,17
1533,37,16,18,31,54,17
1534,41,16,17,35,69,19
1535,45,16,17,28,2,24
1536,34,17,19,30,57,20
1537,39,15,18,28,65,18
1538,35,14,15,28,79,19
1539,27,17,17,29,12,18
1540,37,13,17,30,56,21
1541,48,18,18,27,64,19
1542,41,14,18,27,50,21
1543,42,3,18,31,52,19
1544,43,10,16,31,105,17
1545,40,8,20,30,83,22
1546,39,10,17,32,22,21
1547,40,19,13,25,43,19
1548,40,20,18,25,60,16
1549,45,20,15,33,70,17
1550,36,15,18,33,41,14
1551,42,14,14,29,74,16
1552,41,16,17,26,40,20
1553,40,16,15,35,80,20
1554,21,14,13,25,37,22
1555,36,14,17,34,72,23
1556,39,18,9,29,56,21
1557,32,17,6,33,55,18
1558,41,18,12,32,59,19
1559,33,16,15,33,51,20
1560,44,17,14,36,73,21
1561,45,13,12,27,52,20
1562,44,15,18,33,59,17
1563,40,15,18,33,71,17
1564,40,19,18,17,56,18
1565,45,17,14,25,70,21
1566,18,18,12,34,43,22
1567,19,20,5,28,62,21
1568,22,16,11,30,59,17
1569,20,14,6,29,73,14
1570,42,15,12,32,27,20
1571,46,16,16,27,99,23
1572,42,17,20,33,79,18
1573,39,11,18,32,29,17
1574,41,1,13,35,22,20
1575,42,16,17,28,74,17
1576,41,18,16,31,67,17
1577,44,18,16,26,26,21
1578,45,17,18,30,26,19
1579,42,16,15,31,69,19
1580,39,18,19,32,60,20
1581,24,16,11,19,35,20
1582,27,15,6,20,31,21
1583,28,18,19,33,52,18
1584,43,18,15,29,53,16
1585,35,18,17,34,35,18
1586,32,18,16,34,22,18
1587,32,17,18,28,77,19
1588,42,17,17,32,137,19
1589,35,19,15,33,68,20
1590,44,18,16,31,46,22
1591,40,18,17,31,9,17
1592,36,18,18,33,52,19
1593,41,16,17,27,63,21
1594,40,18,20,30,103,21
1595,37,15,18,31,59,20
1596,41,17,18,31,73,17
1597,45,18,18,28,57,17
1598,39,11,17,30,28,19
1599,42,5,17,30,37,21
1600,37,14,16,34,51,21
1601,42,18,13,32,23,22
1602,42,17,17,28,24,18
1603,39,17,17,28,59,23
1604,33,19,19,29,39,20
1605,42,18,18,28,76,12
1606,33,15,19,31,27,7
1607,29,17,16,34,22,7
1608,42,17,14,32,74,11
1609,41,18,17,34,53,5
1610,39,12,16,30,60,10
1611,33,14,17,30,,12
1612,42,16,15,33,,19
1613,40,9,18,35,,20
1614,37,7,20,31,,21
1615,44,12,16,27,,20
1616,43,13,17,32,,18
1617,39,17,16,30,,17
1618,46,18,19,27,,18
1619,39,12,17,29,,19
1620,48,12,18,21,,22
1621,41,11,16,30,,21
1622,40,11,22,34,,20
1623,46,0,14,22,,20
1624,38,16,14,30,,17
1625,40,17,14,34,,23
1626,44,11,15,32,,19
1627,42,17,14,24,,20
1628,26,16,18,31,,20
1629,26,17,17,28,,21
1630,21,17,19,26,,18
1631,28,20,15,29,,18
1632,40,18,16,29,,19
1633,40,18,18,35,,17
1634,44,18,19,29,,19
1635,13,10,15,30,,22
1636,27,3,15,30,,16
1637,41,12,17,31,,21
1638,39,17,17,30,,21
1639,48,19,15,32,,19
1640,44,16,18,29,,20
1641,45,20,19,29,,19
1642,33,18,16,26,,19
1643,19,13,17,25,,16
1644,44,17,17,25,,16
1645,43,16,14,27,,17
1646,43,16,19,33,,17
1647,39,18,18,29,,17
1648,43,15,17,33,,19
1649,43,12,16,30,,19
1650,41,6,14,20,,17
1651,44,11,15,25,,20
1652,45,16,17,31,,22
1653,44,15,15,26,,19
1654,41,15,17,34,,22
1655,39,11,20,33,,16
1656,42,16,18,30,,19
1657,42,18,17,36,,18
1658,37,17,17,28,,20
1659,39,15,16,30,,20
1660,40,16,17,29,,18
1661,39,17,18,28,,21
1662,47,18,16,27,,20
1663,42,17,16,27,,19
1664,38,20,18,35,,19
1665,41,18,16,22,,18
1666,41,18,17,10,,16
1667,35,18,20,25,,18
1668,39,17,18,28,,18
1669,46,17,18,31,,16
1670,41,16,20,33,,14
1671,41,13,17,33,,19
1672,41,17,16,27,,16
1673,43,17,17,32,,18
1674,34,19,15,34,,19
1675,34,18,17,35,,15
1676,32,19,18,32,,17
1677,39,16,16,35,,16
1678,31,14,18,32,,21
1679,44,17,18,32,,18
1680,41,16,16,30,,17
1681,48,17,18,25,,21
1682,43,15,18,30,,23
1683,37,18,19,33,,19
1684,43,20,19,31,,16
1685,41,16,17,32,,21
1686,28,17,17,30,,20
1687,40,16,17,30,,19
1688,39,19,21,22,,19
1689,33,17,16,36,,20
1690,40,18,15,34,,21
1691,40,16,19,28,,20
1692,34,22,18,18,,19
1693,28,14,16,32,,14
1694,35,5,18,30,,19
1695,38,8,17,30,,16
1696,42,14,19,30,,22
1697,43,11,16,33,,21
1698,42,3,17,28,,19
1699,42,14,18,33,,23
1700,41,18,15,33,,22
1701,39,17,19,34,,21
1702,39,18,16,30,,16
1703,42,16,17,29,,18
1704,40,16,14,28,,13
1705,44,18,16,32,,22
1706,35,19,15,28,,21
1707,41,15,15,29,,20
1708,41,15,17,35,,15
1709,39,17,17,31,,15
1710,43,17,17,33,,16
1711,42,15,16,27,,20
1712,40,18,17,34,,19
1713,41,19,18,28,,19
1714,33,16,15,34,,20
1715,37,17,16,33,,21
1716,39,17,18,28,,15
1717,38,14,15,26,,20
1718,42,12,17,30,,19
1719,41,18,17,29,,18
1720,23,15,11,33,,19
1721,22,14,6,29,,20
1722,43,10,8,30,,19
1723,44,3,6,32,,18
1724,45,10,15,29,,19
1725,17,5,16,34,,14
1726,27,9,18,32,,21
1727,47,2,17,30,,20
1728,39,14,15,28,,18
1729,42,15,20,29,,18
1730,40,17,17,26,,18
1731,29,20,17,32,,17
1732,24,18,17,34,,19
1733,50,17,17,26,,18
1734,46,17,19,29,,19
1735,36,16,13,29,,17
1736,32,17,14,31,,22
1737,39,18,15,32,,22
1738,44,16,17,30,,18
1739,44,16,16,27,,16
1740,42,18,18,32,,16
1741,41,16,17,28,,19
1742,40,17,19,31,,18
1743,43,20,17,26,,18
1744,43,18,19,30,,18
1745,42,18,12,34,,21
1746,44,20,14,28,,17
1747,37,17,14,33,,20
1748,45,16,14,30,,22
1749,38,17,17,32,,20
1750,45,15,19,22,,21
1751,41,17,10,27,,17
1752,41,18,5,28,,20
1753,32,16,9,33,,17
1754,45,18,5,24,,18
1755,44,18,12,33,,18
1756,41,16,17,23,,18
1757,38,18,16,27,,18
1758,40,18,16,27,,16
1759,36,19,16,32,,22
1760,45,19,16,26,,20
1761,46,17,20,34,,20
1762,41,17,16,25,,18
1763,43,17,16,28,,18
1764,39,21,17,31,,18
1765,43,16,17,31,,20
1766,40,15,13,32,,20
1767,35,19,9,30,,21
1768,39,18,5,32,,22
1769,41,16,10,27,,23
1770,43,18,13,32,,19
1771,41,17,2,33,,20
1772,41,19,17,30,,17
1773,42,16,17,30,,19
1774,40,17,18,30,,20
1775,37,18,16,28,,22
1776,43,15,16,32,,20
1777,41,19,17,29,,21
1778,42,16,19,30,,21
1779,47,17,19,29,,21
1780,45,14,17,29,,18
1781,42,16,17,29,,15
1782,45,15,16,31,,21
1783,32,15,18,28,,21
1784,35,17,17,34,,16
1785,39,17,20,34,,19
1786,41,17,15,30,,19
1787,46,16,16,25,,19
1788,41,17,14,33,,20
1789,45,18,16,31,,18
1790,49,15,20,31,,18
1791,40,16,17,28,,22
1792,45,18,14,33,,23
1793,41,15,16,17,,16
1794,38,17,13,16,,16
1795,39,17,18,31,,18
1796,44,18,14,29,,17
1797,38,15,17,29,,21
1798,44,15,14,35,,18
1799,36,16,14,29,,17
1800,43,18,15,30,,19
1801,33,17,18,29,,21
1802,41,15,19,20,,20
1803,42,20,18,29,,17
1804,40,17,15,32,,20
1805,47,17,15,24,,19
1806,40,17,13,28,,17
1807,45,17,5,30,,17
1808,40,19,11,30,,19
1809,40,17,19,32,,19
1810,41,16,17,28,,18
1811,41,19,14,28,,14
1812,44,15,17,28,,17
1813,42,13,17,29,,22
1814,41,13,14,23,,21
1815,42,17,16,30,,17
1816,43,19,17,32,,20
1817,42,17,18,33,,17
1818,42,19,20,29,,17
1819,38,12,18,33,,17
1820,45,14,19,33,,19
1821,36,14,14,32,,19
1822,45,16,16,34,,15
1823,39,15,18,33,,21
1824,44,19,15,29,,17
1825,43,16,17,30,,18
1826,43,15,17,26,,21
1827,48,16,18,33,,18
1828,39,13,19,35,,19
1829,33,16,16,31,,22
1830,37,16,17,34,,20
1831,40,16,18,31,,19
1832,45,8,17,31,,20
1833,40,7,18,34,,21
1834,38,9,17,18,,20
1835,31,10,17,23,,19
1836,38,10,17,34,,20
1837,36,18,19,33,,18
1838,35,13,17,36,,16
1839,43,14,16,26,,17
1840,42,19,15,32,,17
1841,40,14,15,23,,21
1842,48,16,3,35,,19
1843,44,16,10,31,,22
1844,42,17,17,17,,15
1845,40,17,17,15,,19
1846,42,18,17,32,,16
1847,46,16,14,30,,4
1848,41,16,18,36,,11
1849,46,17,19,34,,17
1850,39,19,15,31,,17
1851,40,19,20,31,,8
1852,44,17,20,29,,12
1853,41,17,13,35,,20
1854,43,16,14,32,,21
1855,40,18,12,26,,21
1856,40,17,13,27,,18
1857,44,20,19,35,,18
1858,42,15,13,26,,19
1859,37,16,3,33,,18
1860,39,14,12,27,,21
1861,42,16,17,27,,22
1862,37,12,14,30,,21
1863,44,7,17,31,,22
1864,30,11,13,30,,19
1865,25,5,16,33,,21
1866,43,14,16,32,,19
1867,42,16,17,30,,15
1868,38,13,10,27,,19
1869,37,18,5,35,,14
1870,40,11,1,30,,17
1871,42,2,13,29,,19
1872,40,17,20,37,,21
1873,41,14,14,26,,21
1874,44,14,20,28,,19
1875,43,15,17,30,,20
1876,43,18,17,33,,20
1877,43,19,17,31,,22
1878,42,18,19,25,,23
1879,35,15,16,30,,18
1880,43,15,16,34,,14
1881,43,19,19,30,,18
1882,35,11,18,28,,20
1883,41,3,15,35,,22
1884,43,15,17,34,,17
1885,42,17,17,28,,19
1886,48,14,17,32,,21
1887,36,17,16,29,,19
1888,40,17,16,31,,20
1889,42,14,19,32,,19
1890,35,16,19,31,,20
1891,38,17,18,34,,20
1892,40,13,16,30,,21
1893,20,4,17,29,,15
1894,23,8,19,30,,14
1895,42,11,16,34,,17
1896,40,12,16,30,,21
1897,40,14,17,32,,19
1898,46,10,16,28,,18
1899,51,13,18,33,,19
1900,42,0,17,33,,19
1901,41,16,17,28,,20
1902,43,18,17,33,,20
1903,42,15,18,33,,19
1904,48,17,15,31,,16
1905,42,17,16,30,,16
1906,46,18,15,33,,19
1907,46,19,16,28,,17
1908,44,16,17,34,,20
1909,38,17,16,12,,21
1910,39,18,18,19,,19
1911,42,17,15,35,,20
1912,45,18,17,29,,16
1913,45,17,17,31,,17
1914,43,17,18,29,,19
1915,21,17,19,27,,20
1916,23,19,18,29,,19
1917,42,17,18,31,,18
1918,49,16,14,33,,21
1919,47,15,13,22,,19
1920,43,15,17,32,,21
1921,30,14,16,33,,16
1922,39,17,16,36,,19
1923,39,17,15,30,,21
1924,39,17,12,30,,19
1925,39,9,4,20,,21
1926,40,4,10,27,,18
1927,44,8,7,35,,20
1928,41,9,8,25,,16
1929,42,7,11,36,,16
1930,25,11,20,33,,18
1931,38,6,18,26,,17
1932,42,8,17,16,,18
1933,40,10,19,25,,17
1934,40,17,16,30,,16
1935,40,12,19,36,,17
1936,45,6,15,26,,18
1937,40,6,18,36,,19
1938,42,11,17,25,,18
1939,46,15,18,32,,18
1940,37,17,17,30,,18
1941,45,15,15,34,,19
1942,43,17,18,34,,13
1943,36,17,11,34,,17
