San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
12,12,7,9,34,93
13,13,8,10,35,94
14,14,9,11,36,95
15,15,10,12,37,96
16,16,11,13,38,97
17,17,12,14,39,98
18,18,13,15,0,99
0,0,14,16,1,100
1,1,15,17,2,101
2,2,16,18,3,102
3,3,17,19,4,0
4,4,0,20,5,1
5,5,1,21,6,2
6,6,2,22,7,3
7,7,3,23,8,4
8,8,4,24,9,5
9,9,5,25,10,6
10,10,6,26,11,7
11,11,7,27,12,8
12,12,8,28,13,9
13,13,9,29,14,10
14,14,10,30,15,11
15,15,11,31,16,12
16,16,12,32,17,13
17,17,13,33,18,14
0,0,14,34,19,15
1,1,15,0,20,16
2,2,16,1,21,17
3,3,17,2,22,18
4,4,0,3,23,19
5,5,1,4,24,20
6,6,2,5,25,21
7,7,3,6,26,22
8,8,4,7,27,23
9,9,5,8,28,24
10,10,6,9,29,25
11,11,7,10,30,26
12,12,8,11,31,27
13,13,9,12,32,28
14,14,10,13,33,29
15,15,11,14,34,30
0,0,12,15,35,31
1,1,13,16,36,32
2,2,14,17,37,33
3,3,15,18,38,34
4,4,16,19,39,35
5,5,17,20,40,36
6,6,18,21,41,37
7,7,0,22,42,38
8,8,1,23,43,39
9,9,2,24,44,40
10,10,3,25,0,41
11,11,4,26,1,42
12,12,5,27,2,43
13,13,6,28,3,44
14,14,7,29,4,45
15,15,8,30,5,46
16,16,9,0,6,47
17,17,10,1,7,48
0,0,11,2,8,49
1,1,12,3,9,50
2,2,13,4,10,51
3,3,14,5,11,52
4,4,15,6,12,53
5,5,16,7,13,54
6,6,17,8,14,0
7,7,18,9,15,1
8,8,0,10,16,2
9,9,1,11,17,3
10,10,2,12,18,4
11,11,3,13,19,5
12,12,4,14,0,6
13,13,5,15,1,7
14,14,6,16,2,8
15,15,7,17,3,9
16,16,8,18,4,10
17,17,9,19,5,11
18,18,10,20,6,12
19,19,11,21,7,13
0,0,12,22,8,14
1,1,13,23,9,15
2,2,14,24,10,16
3,3,15,25,11,17
4,4,16,26,12,18
5,5,17,27,13,19
6,6,18,28,14,20
7,7,19,29,15,21
8,8,20,30,16,22
9,9,0,0,17,0
10,10,1,1,18,1
11,11,2,2,19,2
12,12,3,3,20,3
13,13,4,4,21,4
14,14,5,5,22,5
15,15,6,6,0,6
16,16,7,7,1,7
17,17,8,8,2,8
18,18,9,9,3,9
0,0,10,10,4,10
1,1,11,11,5,11
2,2,12,12,6,12
3,3,13,13,7,13
4,4,14,14,8,14
5,5,15,15,9,15
6,6,16,16,10,16
7,7,17,17,11,17
8,8,18,18,12,18
9,9,19,19,13,19
10,10,20,20,14,20
11,11,0,21,15,21
12,12,1,22,16,22
13,13,2,23,17,23
