San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
11,11,11,12,1,48
12,12,12,13,2,49
13,13,13,14,3,50
14,14,14,15,4,51
15,15,15,16,5,52
16,16,16,17,6,53
0,0,0,18,7,54
1,1,1,19,8,55
2,2,2,20,9,56
3,3,3,21,10,57
4,4,4,22,11,58
5,5,5,23,12,59
6,6,6,24,13,60
7,7,7,25,14,61
8,8,8,26,15,62
9,9,9,27,16,63
10,10,10,0,17,0
11,11,11,1,18,1
12,12,12,2,19,2
13,13,13,3,20,3
14,14,14,4,21,4
15,15,15,5,22,5
16,16,16,6,23,6
17,17,17,7,24,7
18,18,18,8,25,8
0,0,0,9,26,9
1,1,1,10,27,10
2,2,2,11,28,11
3,3,3,12,29,12
4,4,4,13,30,13
5,5,5,14,31,14
6,6,6,15,32,15
7,7,7,16,33,16
8,8,8,17,34,17
9,9,9,18,35,18
10,10,10,19,36,19
11,11,11,20,37,20
12,12,12,21,38,21
13,13,13,22,39,22
14,14,14,23,0,23
15,15,15,24,1,24
16,16,16,25,2,25
17,17,17,26,3,26
18,18,18,27,4,27
0,0,19,28,5,28
1,1,20,29,6,29
2,2,21,30,7,30
3,3,22,31,8,31
4,4,23,0,9,32
5,5,0,1,10,33
6,6,1,2,11,34
7,7,2,3,12,35
8,8,3,4,13,36
9,9,4,5,14,37
10,10,5,6,15,38
11,11,6,7,16,39
12,12,7,8,17,40
13,13,8,9,18,41
14,14,9,10,19,42
15,15,10,11,20,43
16,16,11,12,21,44
17,17,12,13,22,45
0,0,13,14,23,46
1,1,14,15,24,47
2,2,15,16,25,48
3,3,16,17,26,49
4,4,17,18,27,50
5,5,18,19,28,51
6,6,19,20,29,52
7,7,20,21,30,53
8,8,0,22,31,54
9,9,1,23,32,55
10,10,2,24,33,56
11,11,3,25,34,57
12,12,4,26,35,58
13,13,5,27,36,59
14,14,6,28,37,60
15,15,7,29,38,61
16,16,8,30,39,62
17,17,9,31,40,63
18,18,10,32,0,64
0,0,11,33,1,65
1,1,12,0,2,66
2,2,13,1,3,67
3,3,14,2,4,68
4,4,15,3,5,69
5,5,16,4,6,70
6,6,17,5,7,71
7,7,18,6,8,72
8,8,19,7,9,73
9,9,20,8,10,74
10,10,21,9,11,75
11,11,0,10,12,0
12,12,1,11,13,1
13,13,2,12,14,2
14,14,3,13,15,3
15,15,4,14,16,4
16,16,5,15,17,5
17,17,6,16,18,6
18,18,7,17,19,7
0,0,8,18,20,8
1,1,9,19,21,9
2,2,10,20,22,10
3,3,11,21,23,11
4,4,12,22,24,12
5,5,13,23,25,13
6,6,14,24,26,14
7,7,15,0,27,15
8,8,16,1,28,16
9,9,17,2,29,17
10,10,18,3,30,18
11,11,19,4,31,19
12,12,20,5,32,20
13,13,21,6,33,21
0,0,0,7,34,22
1,1,1,8,35,23
2,2,2,9,36,24
3,3,3,10,37,25
4,4,4,11,38,26
5,5,5,12,39,27
6,6,6,13,40,28
7,7,7,14,41,29
8,8,8,15,42,30
9,9,9,16,43,31
10,10,10,17,44,32
11,11,11,18,45,33
12,12,12,19,0,34
13,13,13,20,1,35
14,14,14,21,2,36
15,15,15,22,3,37
16,16,16,23,4,38
17,17,17,24,5,39
0,0,0,25,6,40
1,1,1,26,7,41
2,2,2,27,8,42
3,3,3,28,9,43
4,4,4,29,10,44
5,5,5,30,11,45
6,6,6,0,12,46
7,7,7,1,13,47
8,8,8,2,14,48
9,9,9,3,15,49
10,10,10,4,16,50
11,11,11,5,17,51
12,12,12,6,18,52
13,13,13,7,19,53
14,14,14,8,20,54
15,15,15,9,21,55
16,16,16,10,22,56
0,0,17,11,23,57
1,1,18,12,24,58
2,2,19,13,25,59
3,3,0,14,26,60
4,4,1,15,27,61
5,5,2,16,28,62
6,6,3,17,29,63
7,7,4,18,30,64
8,8,5,19,31,65
9,9,6,20,32,66
10,10,7,21,33,67
11,11,8,22,34,68
12,12,9,23,35,69
13,13,10,24,36,70
14,14,11,25,37,71
15,15,12,26,38,72
0,0,13,27,39,73
1,1,14,28,40,74
2,2,15,29,41,75
3,3,16,30,42,76
4,4,17,31,43,77
5,5,18,0,44,78
6,6,19,1,45,79
7,7,0,2,46,80
8,8,1,3,47,81
9,9,2,4,0,82
10,10,3,5,1,83
11,11,4,6,2,84
12,12,5,7,3,85
13,13,6,8,4,86
14,14,7,9,5,87
15,15,8,10,6,88
16,16,9,11,7,89
17,17,10,12,8,90
18,18,11,13,9,91
19,19,12,14,10,92
0,0,13,15,11,93
1,1,14,16,12,94
2,2,15,17,13,95
3,3,16,18,14,96
4,4,17,19,15,97
5,5,18,20,16,98
6,6,19,21,17,99
7,7,0,22,18,100
8,8,1,23,19,101
9,9,2,24,20,102
10,10,3,25,21,103
11,11,4,26,22,104
12,12,5,27,23,105
13,13,6,28,24,106
14,14,7,29,25,107
15,15,8,30,26,108
16,16,9,31,27,109
0,0,10,32,28,110
1,1,11,33,29,111
2,2,12,34,30,112
3,3,13,35,31,113
4,4,14,0,32,114
5,5,15,1,33,115
6,6,16,2,34,116
7,7,17,3,35,117
8,8,18,4,36,118
9,9,19,5,37,119
10,10,0,6,38,120
11,11,1,7,39,121
12,12,2,8,40,122
13,13,3,9,41,123
14,14,4,10,42,124
0,0,5,11,0,125
1,1,6,12,1,126
2,2,7,13,2,127
3,3,8,14,3,128
4,4,9,15,4,129
5,5,10,16,5,130
6,6,11,17,6,0
7,7,12,18,7,1
8,8,13,19,8,2
9,9,14,20,9,3
10,10,15,21,10,4
11,11,16,22,11,5
12,12,17,23,12,6
13,13,0,24,13,7
14,14,1,25,14,8
15,15,2,26,15,9
16,16,3,27,16,10
17,17,4,28,17,11
18,18,5,29,18,12
0,0,6,30,19,13
1,1,7,0,20,14
2,2,8,1,21,15
3,3,9,2,22,16
4,4,10,3,23,17
5,5,0,4,24,18
6,6,1,5,25,19
7,7,2,6,26,20
8,8,3,7,27,21
9,9,4,8,28,22
10,10,5,9,0,23
11,11,6,10,1,24
12,12,0,11,2,25
13,13,1,12,3,26
14,14,2,13,4,27
15,15,3,14,5,28
0,0,4,15,6,29
1,1,5,16,7,30
2,2,6,17,8,31
3,3,7,18,9,32
4,4,8,19,10,33
5,5,9,20,11,34
6,6,10,21,12,35
7,7,11,22,13,36
8,8,12,23,14,37
9,9,0,24,15,38
10,10,1,25,16,39
11,11,2,26,17,40
12,12,3,27,18,41
13,13,4,28,0,42
14,14,5,29,1,43
15,15,6,0,2,44
16,16,7,1,3,45
0,0,8,2,4,46
1,1,9,3,5,47
2,2,10,4,6,48
3,3,11,5,7,49
4,4,12,6,8,50
5,5,13,7,9,51
6,6,14,8,10,0
7,7,15,9,11,1
8,8,16,10,12,2
9,9,17,11,13,3
10,10,18,12,14,4
11,11,19,13,15,5
12,12,20,14,16,6
13,13,21,15,17,7
14,14,0,16,18,8
15,15,1,17,19,9
16,16,2,18,20,10
0,0,3,19,0,11
1,1,4,20,1,12
2,2,5,21,2,13
3,3,6,22,3,14
4,4,7,23,4,15
5,5,8,24,5,16
6,6,9,25,6,17
7,7,10,26,7,18
8,8,11,27,8,19
9,9,12,28,9,20
10,10,13,29,10,21
11,11,14,0,11,22
12,12,15,1,12,23
13,13,16,2,13,24
14,14,17,3,14,25
15,15,18,4,15,26
0,0,0,5,16,27
1,1,1,6,17,28
2,2,2,7,18,29
3,3,3,8,19,30
4,4,4,9,20,31
5,5,5,10,21,32
6,6,6,11,22,33
7,7,7,12,23,34
8,8,8,13,24,35
9,9,9,14,25,36
10,10,10,15,26,37
11,11,11,16,27,38
12,12,12,17,28,39
13,13,13,18,29,40
14,14,14,19,30,41
15,15,15,20,31,42
16,16,16,21,32,43
17,17,17,22,33,44
0,0,18,23,34,45
1,1,19,24,35,46
2,2,0,25,36,47
3,3,1,26,37,48
4,4,2,27,38,49
5,5,3,28,39,50
6,6,4,29,0,51
7,7,5,30,1,52
8,8,6,31,2,53
9,9,7,32,3,54
10,10,8,0,4,55
11,11,9,1,5,56
12,12,10,2,6,57
13,13,11,3,7,58
14,14,12,4,8,59
15,15,13,5,9,60
16,16,14,6,10,61
17,17,15,7,11,62
0,0,16,8,12,63
1,1,17,9,13,64
2,2,18,10,14,65
3,3,0,11,15,66
4,4,1,12,16,67
5,5,2,13,17,68
6,6,3,14,18,69
7,7,4,15,19,70
8,8,5,16,20,71
9,9,6,17,21,72
10,10,7,18,22,73
11,11,8,19,23,74
12,12,9,20,24,75
13,13,10,21,25,0
14,14,11,22,26,1
15,15,12,23,27,2
16,16,13,24,28,3
17,17,14,25,29,4
18,18,15,26,30,5
19,19,16,27,31,6
20,20,17,28,32,7
0,0,0,29,33,8
1,1,1,30,34,9
2,2,2,31,35,10
3,3,3,32,36,11
4,4,4,0,37,12
5,5,5,1,38,13
6,6,6,2,39,14
7,7,7,3,40,15
8,8,8,4,41,16
9,9,9,5,0,17
10,10,10,6,1,18
11,11,11,7,2,19
12,12,12,8,3,20
13,13,13,9,4,21
14,14,14,10,5,22
15,15,15,11,6,23
16,16,16,12,7,24
0,0,17,13,8,25
1,1,18,14,9,26
2,2,19,15,10,27
3,3,20,16,11,28
4,4,21,17,12,29
5,5,22,18,13,30
6,6,0,19,14,31
7,7,1,20,15,32
8,8,2,21,16,33
9,9,3,22,17,34
10,10,4,23,18,35
11,11,5,24,19,36
12,12,6,25,20,37
13,13,7,26,21,38
14,14,8,27,22,39
15,15,9,28,23,40
16,16,10,29,24,41
17,17,11,30,25,42
0,0,12,31,26,43
1,1,13,32,27,44
2,2,14,33,28,45
3,3,15,34,29,46
4,4,16,35,30,47
5,5,17,36,31,48
6,6,18,37,32,49
7,7,19,0,33,50
8,8,0,1,34,51
9,9,1,2,35,52
10,10,2,3,36,53
11,11,3,4,37,54
12,12,4,5,38,55
13,13,5,6,39,56
14,14,6,7,40,57
15,15,7,8,41,58
16,16,8,9,0,59
0,0,9,10,1,60
1,1,10,11,2,61
2,2,11,12,3,62
3,3,12,13,4,63
4,4,13,14,5,64
5,5,14,15,6,65
6,6,15,16,7,66
7,7,16,17,8,67
8,8,17,18,9,68
9,9,18,19,10,0
10,10,19,20,11,1
11,11,20,21,12,2
12,12,0,22,13,3
13,13,1,23,14,4
14,14,2,24,15,5
15,15,3,25,16,6
16,16,4,26,17,7
0,0,5,27,18,8
1,1,6,28,19,9
2,2,7,29,20,10
3,3,8,30,21,11
4,4,9,31,22,12
5,5,10,32,23,13
6,6,11,33,24,14
7,7,12,34,25,15
8,8,13,35,26,16
9,9,14,0,27,17
10,10,15,1,28,18
11,11,16,2,29,19
12,12,17,3,30,20
13,13,18,4,31,21
14,14,19,5,32,22
15,15,20,6,33,23
16,16,21,7,34,24
0,0,0,8,35,25
1,1,1,9,36,26
2,2,2,10,37,27
3,3,3,11,38,28
4,4,4,12,39,29
5,5,5,13,40,30
6,6,6,14,41,31
7,7,7,15,42,32
8,8,8,16,0,33
9,9,9,17,1,34
10,10,10,18,2,35
11,11,11,19,3,36
12,12,12,20,4,37
13,13,13,21,5,38
14,14,14,22,6,39
0,0,15,23,7,0
1,1,16,24,8,1
2,2,17,25,9,2
3,3,18,26,10,3
4,4,19,27,11,4
5,5,0,28,12,5
6,6,1,29,13,6
7,7,2,30,14,7
8,8,3,31,15,8
9,9,4,0,16,9
10,10,5,1,17,10
11,11,6,2,18,11
12,12,7,3,19,12
13,13,8,4,20,13
14,14,9,5,21,14
15,15,10,6,22,15
0,0,11,7,23,16
1,1,12,8,24,17
2,2,13,9,25,18
3,3,14,10,26,19
4,4,15,11,27,20
5,5,16,12,28,21
6,6,17,13,29,22
7,7,18,14,30,23
8,8,0,15,31,24
9,9,1,16,32,25
10,10,2,17,33,26
11,11,3,18,34,27
12,12,4,19,35,28
13,13,5,20,36,29
14,14,6,21,37,30
15,15,7,22,38,31
16,16,8,23,39,32
0,0,9,24,40,33
1,1,10,25,41,34
2,2,11,26,42,35
3,3,12,0,43,36
4,4,13,1,44,37
5,5,14,2,45,38
6,6,15,3,0,39
7,7,16,4,1,40
8,8,17,5,2,41
9,9,18,6,3,42
10,10,0,7,4,43
11,11,1,8,5,44
12,12,2,9,6,45
13,13,3,10,7,46
14,14,4,11,8,47
15,15,5,12,9,48
16,16,6,13,10,49
17,17,7,14,11,50
18,18,8,15,12,51
0,0,9,16,13,52
1,1,10,17,14,53
2,2,11,18,15,54
3,3,12,19,16,55
4,4,13,20,17,56
5,5,14,21,18,57
6,6,15,22,19,58
7,7,16,23,20,59
8,8,17,24,21,60
9,9,18,25,22,61
10,10,19,26,23,62
11,11,20,27,24,63
0,12,0,28,0,64
1,13,1,29,1,65
2,14,2,30,2,66
3,15,3,31,3,67
0,0,4,32,4,68
1,1,5,33,5,69
2,2,6,34,6,70
3,3,7,0,7,71
4,4,8,1,8,72
5,5,9,2,9,73
6,6,10,3,10,0
7,7,11,4,11,1
8,8,12,5,12,2
9,9,13,6,13,3
10,10,14,7,14,4
11,11,15,8,15,5
12,12,16,9,16,6
13,13,17,10,17,7
14,14,18,11,18,8
15,15,19,12,19,9
16,16,20,13,20,10
0,0,0,14,21,11
1,1,1,15,22,12
2,2,2,16,23,13
3,3,3,17,24,14
4,4,4,18,25,15
5,5,5,19,26,16
6,6,6,20,27,17
7,7,7,21,0,18
8,8,8,22,1,19
9,9,9,23,2,20
10,10,10,24,3,21
11,11,11,25,4,22
12,12,12,26,5,23
13,13,13,27,6,24
14,14,14,28,7,25
15,15,15,29,8,26
16,16,16,30,9,27
17,17,17,31,10,28
0,0,0,32,11,29
1,1,1,33,12,30
2,2,2,34,13,31
3,3,3,0,14,0
4,4,4,1,15,1
5,5,5,2,16,2
6,6,6,3,17,3
7,7,7,4,18,4
8,8,8,5,19,5
9,9,9,6,20,6
10,10,10,7,21,7
11,11,11,8,22,8
12,12,12,9,23,9
13,13,13,10,24,10
14,14,14,11,25,11
15,15,15,12,26,12
16,16,16,13,27,13
17,17,17,14,28,14
18,18,18,15,29,15
19,19,19,16,30,16
0,0,0,17,31,17
1,1,1,18,32,18
2,2,2,19,33,19
3,3,3,20,34,20
4,4,4,21,35,21
5,5,5,22,36,22
6,6,6,23,37,23
7,7,7,24,38,24
8,8,8,25,39,25
9,9,9,26,40,26
10,10,10,0,41,27
11,11,11,1,42,28
12,12,12,2,43,29
13,13,13,3,44,30
14,14,14,4,45,0
15,15,15,5,46,1
16,16,16,6,47,2
17,17,17,7,0,3
0,0,0,8,1,4
1,1,1,9,2,5
2,2,2,10,3,6
3,3,3,11,4,7
4,4,4,12,5,8
5,5,5,13,6,9
6,6,6,14,7,10
7,7,7,15,8,11
8,8,8,16,9,12
9,9,9,17,10,13
10,10,10,18,11,14
11,11,11,19,12,15
12,12,12,20,13,16
13,13,13,21,14,17
14,14,14,22,15,18
15,15,15,23,16,19
16,16,16,24,17,20
17,17,17,25,18,21
0,0,0,26,19,22
1,1,1,27,20,23
2,2,2,28,21,24
3,3,3,0,22,25
4,4,4,1,23,26
5,5,5,2,24,27
6,6,6,3,25,28
7,7,7,4,26,29
8,8,8,5,27,30
9,9,9,6,28,31
10,10,10,7,29,32
11,11,11,8,30,33
12,12,12,9,31,34
13,13,13,10,32,35
14,14,14,11,33,36
15,15,15,12,34,37
16,16,16,13,35,38
17,17,17,14,36,39
0,0,0,15,37,40
1,1,1,16,38,41
2,2,2,17,39,42
3,3,3,18,40,43
4,4,4,19,41,44
5,5,5,20,0,45
6,6,6,21,1,46
7,7,7,22,2,47
8,8,8,23,3,48
9,9,9,24,4,49
10,10,10,25,5,50
11,11,11,26,6,51
12,12,12,27,7,52
13,13,13,28,8,53
14,14,14,29,9,54
15,15,15,0,10,55
16,16,16,1,11,56
17,17,17,2,12,57
0,0,0,3,13,58
1,1,1,4,14,59
2,2,2,5,15,60
3,3,3,6,16,61
4,4,4,7,17,62
5,5,5,8,18,63
6,6,6,9,19,64
7,7,7,10,20,65
8,8,8,11,21,66
9,9,9,12,22,67
10,10,10,13,23,68
11,11,11,14,24,69
12,12,12,15,25,70
13,13,13,16,26,71
14,14,14,17,27,72
15,15,15,18,28,73
16,16,16,19,29,74
0,0,0,20,30,75
1,1,1,21,31,76
2,2,2,22,32,77
3,3,3,23,33,78
4,4,4,24,34,79
5,5,5,25,35,80
6,6,6,26,36,0
7,7,7,27,37,1
8,8,8,28,38,2
9,9,9,29,39,3
10,10,10,30,40,4
11,11,11,31,0,5
12,12,12,32,1,6
13,13,13,33,2,7
14,14,14,0,3,8
15,15,15,1,4,9
16,16,16,2,5,10
17,17,17,3,6,11
18,18,18,4,7,12
0,0,0,5,8,13
1,1,1,6,9,14
2,2,2,7,10,15
3,3,3,8,11,16
4,4,4,9,12,17
5,5,5,10,13,18
6,6,6,11,14,19
7,7,7,12,15,20
8,8,8,13,16,21
9,9,9,14,17,22
10,10,10,15,18,23
11,11,11,16,19,24
12,12,12,17,20,25
13,13,13,18,21,26
14,14,14,19,22,27
15,15,15,20,23,28
16,16,16,21,24,29
0,0,0,22,25,30
1,1,1,23,26,31
2,2,2,24,27,32
3,3,3,25,28,33
4,4,4,26,29,34
5,5,5,27,30,35
6,6,6,28,31,36
7,7,7,29,32,37
8,8,8,0,33,38
9,9,9,1,34,39
10,10,10,2,35,40
11,11,11,3,36,41
12,12,12,4,37,42
13,13,13,5,38,43
14,14,14,6,39,44
15,15,15,7,40,45
16,16,16,8,41,46
17,17,17,9,42,47
18,0,18,10,43,48
19,1,19,11,44,49
0,2,0,12,45,50
1,3,1,13,46,51
2,4,2,14,0,52
3,5,3,15,1,53
4,6,4,16,2,54
5,7,5,17,3,55
6,8,6,18,4,56
7,9,7,19,5,57
8,10,8,20,6,58
9,11,9,0,7,59
10,12,10,1,8,60
11,13,11,2,9,61
12,14,12,3,10,62
13,15,13,4,11,63
14,16,14,5,12,64
15,17,15,6,13,65
0,0,16,7,14,66
1,1,17,8,15,67
2,2,18,9,16,68
3,3,0,10,17,69
4,4,1,11,18,70
5,5,2,12,19,71
6,6,3,13,20,72
7,7,4,14,21,73
8,8,5,15,22,74
9,9,6,16,23,75
10,10,7,0,24,0
11,11,8,1,25,1
12,12,9,2,26,2
13,13,10,3,27,3
14,14,11,4,28,4
15,15,12,5,29,5
0,0,13,6,30,6
1,1,14,7,31,7
2,2,15,8,32,8
3,3,16,9,33,9
4,4,17,10,34,10
5,5,18,11,35,11
6,6,19,12,36,12
7,7,0,13,37,13
8,8,1,14,38,14
9,9,2,15,39,15
10,10,3,16,0,16
11,11,4,17,1,17
12,12,5,18,2,18
13,13,6,19,3,19
14,14,7,20,4,20
15,15,8,21,5,21
16,16,9,22,6,22
17,17,10,23,7,23
0,0,11,24,8,24
1,1,12,25,9,25
2,2,13,26,10,26
3,3,14,27,11,27
4,4,15,28,12,28
5,5,16,29,13,29
6,6,17,30,14,30
7,7,18,31,15,31
8,8,0,32,16,32
9,9,1,33,17,33
10,10,2,34,18,34
11,11,3,0,19,35
12,12,4,1,20,36
13,13,5,2,21,37
14,14,6,3,22,38
15,15,7,4,23,39
16,16,8,5,24,40
17,17,9,6,25,41
0,0,10,7,26,42
1,1,11,8,27,43
2,2,12,9,28,44
3,3,13,10,29,45
4,4,14,11,30,46
5,5,15,12,31,47
6,6,16,13,32,48
7,7,17,14,33,49
8,8,18,15,34,50
9,9,19,16,35,51
10,10,20,17,36,52
11,11,21,18,37,53
12,12,0,19,38,0
13,13,1,20,39,1
14,14,2,21,40,2
15,15,3,22,41,3
16,16,4,23,42,4
17,17,5,24,0,5
18,18,6,25,1,6
0,0,7,26,2,7
1,1,8,27,3,8
2,2,9,28,4,9
3,3,10,29,5,10
4,4,11,30,6,11
5,5,12,0,7,12
6,6,13,1,8,13
7,7,14,2,9,14
8,8,15,3,10,15
9,9,0,4,11,16
10,10,1,5,12,17
11,11,2,6,13,18
12,12,3,7,14,19
13,13,4,8,15,20
14,14,5,9,16,21
15,15,6,10,17,22
16,16,7,11,18,23
17,17,8,12,19,24
18,18,9,13,20,25
0,0,10,14,21,26
1,1,11,15,22,27
2,2,12,16,23,28
3,3,13,17,24,29
4,4,14,18,25,30
5,5,15,19,26,31
6,6,16,20,27,32
7,7,17,21,28,33
8,8,18,22,29,34
9,9,19,23,30,35
10,10,20,24,31,36
11,11,0,25,32,37
12,12,1,26,33,38
13,13,2,27,34,39
14,14,3,28,35,40
15,15,4,29,36,41
16,16,5,0,37,42
17,17,6,1,38,43
18,18,7,2,39,44
19,19,8,3,40,45
0,0,9,4,41,46
1,1,10,5,42,47
2,2,11,6,43,48
3,3,12,7,0,49
4,4,13,8,1,50
5,5,14,9,2,51
6,6,15,10,3,52
7,7,16,11,4,53
8,8,17,12,5,54
9,9,18,13,6,55
10,10,19,14,7,56
11,11,20,15,8,57
12,12,21,16,9,58
13,13,0,17,10,59
14,14,1,18,11,60
15,15,2,19,12,61
16,16,3,20,13,62
17,17,4,21,14,63
18,18,5,22,15,64
0,0,6,23,16,65
1,1,7,24,17,66
2,2,8,25,18,67
3,3,9,26,19,68
4,4,10,27,20,69
5,5,11,28,21,70
6,6,12,29,22,71
7,7,13,30,23,72
8,8,14,31,24,73
9,9,15,32,25,74
10,10,16,33,26,75
11,11,17,0,27,76
12,12,18,1,28,77
13,13,19,2,29,78
14,14,20,3,30,79
0,0,0,4,31,80
1,1,1,5,32,81
2,2,2,6,33,82
3,3,3,7,34,83
4,4,4,8,35,84
5,5,5,9,36,85
6,6,6,10,37,86
7,7,7,11,38,87
8,8,8,12,39,88
9,9,9,13,0,89
10,10,10,14,1,90
11,11,11,15,2,0
12,12,12,16,3,1
13,0,13,17,4,2
14,1,14,18,5,3
15,2,15,19,6,4
16,3,16,20,7,5
17,4,17,21,8,6
18,5,18,22,9,7
0,6,0,23,10,8
1,7,1,24,11,9
2,8,2,25,12,10
3,9,3,26,13,11
4,10,4,27,14,12
5,11,5,0,15,13
6,12,6,1,16,14
7,13,7,2,17,15
8,14,8,3,18,16
9,15,9,4,19,17
10,16,10,5,20,18
11,17,11,6,21,19
12,18,12,7,22,20
13,19,13,8,23,21
0,0,14,9,24,22
1,1,15,10,25,23
2,2,16,11,26,24
3,3,17,12,27,25
4,4,18,13,28,26
5,5,19,14,29,27
6,6,20,15,30,28
7,7,0,16,31,29
8,8,1,17,32,30
9,9,2,18,33,31
10,10,3,19,34,32
11,11,4,20,35,33
12,12,5,21,36,34
13,13,6,22,37,35
14,14,7,23,38,36
15,15,8,24,39,37
16,16,9,25,40,38
0,0,10,26,41,39
1,1,11,27,42,40
2,2,12,28,43,41
3,3,13,29,44,42
4,4,14,30,45,43
5,5,15,31,0,44
6,6,16,32,1,45
7,7,17,33,2,46
8,8,18,0,3,47
9,9,19,1,4,48
10,10,20,2,5,49
11,11,0,3,6,50
12,0,1,4,7,51
13,1,2,5,8,52
14,2,3,6,9,53
15,3,4,7,10,54
16,4,5,8,11,55
17,5,6,9,12,56
0,0,7,10,13,57
1,1,8,11,14,58
2,2,9,12,15,59
3,3,10,13,16,60
4,4,11,14,17,61
5,5,12,15,18,62
6,6,13,16,19,63
7,7,14,17,20,64
8,8,15,18,21,65
9,9,16,19,22,66
10,10,17,20,23,67
11,11,18,21,24,68
12,0,19,22,25,69
13,1,20,23,26,70
14,2,21,24,27,71
0,3,0,25,28,72
1,4,1,26,29,73
2,5,2,27,30,74
3,6,3,28,31,75
4,7,4,29,32,76
5,8,5,30,33,77
6,9,6,31,34,78
7,10,7,32,35,79
8,11,8,33,36,80
9,12,9,0,37,81
10,13,10,1,38,82
11,14,11,2,39,83
12,15,12,3,40,84
13,16,13,4,41,85
0,0,14,5,42,86
1,1,15,6,43,87
2,2,16,7,0,88
3,3,17,8,1,89
4,4,18,9,2,90
0,5,19,10,3,91
1,6,20,11,4,92
2,7,21,12,5,93
3,8,22,13,6,94
4,9,0,14,7,95
5,10,1,15,8,96
6,11,2,16,9,97
7,12,3,17,10,98
8,13,4,18,11,99
9,14,5,19,12,100
0,0,6,20,13,101
1,1,7,21,14,102
2,2,8,22,15,103
3,3,9,23,16,104
4,4,10,24,17,105
5,5,11,25,18,106
6,6,12,26,19,107
7,7,13,27,20,108
8,8,14,28,21,109
9,9,15,29,22,110
0,10,16,30,23,111
1,11,17,31,24,112
2,12,18,32,25,113
3,13,19,33,26,114
4,14,20,0,27,115
5,15,0,1,28,116
6,16,1,2,29,117
7,17,2,3,0,118
8,18,3,4,1,119
9,19,4,5,2,120
0,0,5,6,3,121
1,1,6,7,4,122
2,2,7,8,5,123
3,3,8,9,6,124
4,4,9,10,7,125
5,5,10,11,8,0
6,6,11,12,9,1
0,7,12,13,10,2
1,8,13,14,11,3
2,9,14,15,12,4
3,10,15,16,13,5
4,11,16,17,14,6
5,12,17,18,15,7
6,13,18,19,16,8
7,14,19,20,17,9
8,15,20,21,18,10
9,16,21,22,19,11
0,0,22,23,20,12
1,1,0,24,21,13
2,2,1,25,22,14
3,3,2,26,23,15
4,4,3,27,24,16
5,5,4,28,25,17
6,6,5,29,26,18
7,7,6,30,27,19
8,8,7,31,28,20
9,9,8,32,29,21
10,10,9,33,30,22
0,11,10,0,31,23
1,12,11,1,32,24
2,13,12,2,33,25
3,14,13,3,34,26
4,15,14,4,35,27
5,16,15,5,36,28
6,17,16,6,37,29
7,18,17,7,38,30
0,0,18,8,0,31
1,1,19,9,1,32
2,2,0,10,2,33
3,3,1,11,3,34
4,4,2,12,4,35
5,5,3,13,5,36
6,6,4,14,6,37
7,7,5,15,7,38
8,8,6,16,8,39
9,9,7,17,9,40
10,10,8,18,10,41
0,11,9,19,11,42
1,12,10,20,12,43
2,13,11,21,13,44
3,14,12,22,14,45
4,15,13,23,15,46
5,16,0,24,16,47
6,17,1,25,17,48
7,18,2,26,18,49
8,0,3,27,19,50
9,1,4,28,20,51
10,2,5,29,21,52
11,3,6,30,22,53
12,4,7,31,23,54
13,5,8,32,24,55
14,6,9,0,25,56
15,7,10,1,26,57
16,8,11,2,27,58
17,9,12,3,28,59
18,10,13,4,29,60
19,11,14,5,0,61
0,0,15,6,1,62
1,1,16,7,2,63
2,2,17,8,3,64
3,3,18,9,4,65
4,0,19,10,5,66
5,1,20,11,6,67
6,2,21,12,7,68
7,3,22,13,8,69
8,4,0,14,9,0
9,5,1,15,10,1
10,6,2,16,0,2
11,7,3,17,1,3
12,8,4,18,2,4
13,9,5,19,3,5
14,10,6,20,4,6
15,11,7,21,5,7
16,12,8,22,6,8
17,13,9,23,7,9
0,0,10,24,8,10
1,1,11,25,9,11
2,2,12,26,10,12
3,3,13,27,11,13
4,4,14,28,12,14
5,5,15,29,13,15
6,6,16,30,14,16
7,7,17,31,15,17
8,8,18,32,16,18
9,9,19,33,17,19
10,10,20,34,18,20
11,11,21,0,19,21
12,12,22,1,20,22
13,13,23,2,21,23
14,14,0,3,22,24
15,15,1,4,23,25
16,16,2,5,24,26
0,0,3,6,25,27
1,1,4,7,26,28
2,2,5,8,27,29
3,3,6,9,28,30
4,4,7,10,29,31
5,5,8,11,30,32
6,6,9,12,31,33
7,7,10,13,32,34
8,8,11,14,33,35
9,9,12,15,34,36
10,10,13,16,35,37
11,11,14,17,36,38
12,12,15,18,37,39
13,13,16,19,38,40
14,14,17,20,0,41
15,15,0,21,1,0
16,16,1,22,2,1
0,0,2,23,3,2
1,1,3,24,4,3
2,2,4,25,5,4
3,3,5,26,6,5
4,4,6,27,7,6
5,5,7,28,8,7
6,6,8,29,9,8
7,7,9,30,10,9
8,8,10,0,11,10
9,9,11,1,12,11
10,10,12,2,13,12
11,11,13,3,14,13
12,12,14,4,15,14
13,13,15,5,16,15
14,14,16,6,17,16
15,15,17,7,18,17
16,16,18,8,19,18
17,17,19,9,20,19
0,0,0,10,21,20
1,1,1,11,22,21
2,2,2,12,23,22
