,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
213,1,0,0,0,0,0,0,0,0,1,0,0
214,1,1,1,1,0,0,0,0,0,0,0,0
215,1,1,1,0,0,0,0,0,0,0,0,0
216,2,1,1,0,0,0,0,0,0,0,0,0
217,1,1,0,0,1,0,0,0,1,0,0,1
218,1,1,1,0,1,1,0,0,0,0,0,0
219,0,1,1,0,0,0,0,0,0,0,0,0
220,1,1,0,1,0,0,0,0,0,0,0,0
221,1,1,1,0,0,1,0,0,0,0,0,0
222,1,1,1,0,0,0,0,0,0,0,0,0
223,1,1,0,0,0,0,1,0,1,0,0,1
224,1,1,1,1,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,1,0,0
226,1,1,1,0,0,0,0,0,0,1,0,0
227,1,1,0,0,1,0,1,0,1,1,0,0
228,1,1,0,0,0,0,0,0,0,1,0,0
229,0,0,1,0,0,0,0,0,0,0,0,0
230,1,1,1,0,0,0,0,0,0,0,0,0
231,1,1,1,0,0,0,0,0,0,0,0,0
232,1,1,1,1,0,0,0,0,0,0,0,0
233,1,1,1,0,0,0,0,0,0,0,0,0
234,1,1,0,0,0,0,0,0,0,0,0,0
235,1,1,1,0,1,0,0,0,0,0,0,0
236,2,1,1,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0,0
238,1,2,1,0,0,0,0,0,0,0,0,0
239,0,0,1,1,0,1,0,0,0,0,0,0
240,1,0,1,0,0,0,0,1,0,0,1,0
241,1,1,1,0,0,0,0,0,0,0,0,0
242,1,1,1,1,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,1,1,0,0,0,0
244,0,0,1,0,0,1,0,0,0,1,0,0
245,0,0,0,0,0,0,1,1,1,0,0,1
246,1,1,1,0,1,0,0,0,0,0,0,0
247,0,0,1,0,1,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,1,0,0,1,1,1,0,0,0
251,1,1,1,1,1,0,0,0,0,0,0,0
252,0,0,0,1,0,0,1,1,0,0,0,0
253,1,1,1,0,0,1,0,0,0,0,0,0
254,1,0,1,1,1,0,1,1,0,0,0,0
255,1,1,0,0,0,0,0,0,0,1,0,0
256,1,0,1,0,0,0,0,0,0,0,0,0
257,1,1,0,0,0,0,0,0,0,0,0,0
258,0,0,0,1,0,0,0,0,0,0,0,0
259,0,0,0,0,1,1,0,0,0,0,0,0
260,1,1,1,1,0,0,0,0,0,0,0,0
261,0,0,0,0,1,0,0,0,0,0,0,0
262,0,0,1,0,0,0,0,0,0,0,1,0
263,1,1,1,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0,0,1,0
265,1,1,1,0,1,0,0,0,0,1,0,0
266,0,0,1,0,0,0,0,0,0,0,1,1
267,1,1,0,0,0,0,0,0,0,0,0,0
268,1,0,0,1,1,0,0,1,1,0,0,0
269,1,1,1,1,0,1,0,0,0,0,0,0
270,1,1,0,0,1,0,1,0,0,0,0,0
271,0,0,0,1,0,0,0,0,0,0,0,0
272,0,0,1,0,0,0,0,0,0,0,0,0
273,1,0,1,0,0,0,0,0,0,1,0,0
274,0,0,0,1,0,0,0,0,0,0,0,0
275,1,1,0,1,0,0,0,0,0,0,0,0
276,1,1,1,1,0,0,0,0,0,0,0,0
277,1,0,1,0,0,0,0,0,0,1,0,0
278,1,1,1,0,0,0,0,0,1,0,0,1
279,0,0,1,0,1,0,0,0,0,0,0,0
280,1,1,0,1,1,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,1,0,0,0
282,1,1,1,1,0,0,0,0,0,0,0,0
283,1,0,1,0,1,1,1,1,0,0,0,0
284,0,1,0,1,0,0,1,0,1,0,0,0
285,0,0,1,1,0,0,0,0,0,0,0,0
