,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
181,1,1,1,0,0,0,0,0,0,0,0,0
182,0,0,0,1,0,0,1,1,1,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,1
184,1,1,1,1,1,0,0,0,0,0,0,0
185,1,1,1,0,0,0,0,0,0,0,0,0
186,0,0,0,1,0,0,0,0,0,0,0,0
187,1,1,1,0,1,0,0,0,0,0,0,0
188,1,1,1,0,0,0,0,0,0,1,0,0
189,0,0,0,0,0,0,1,1,1,0,0,0
190,0,0,0,0,1,0,0,0,0,0,0,0
191,1,1,1,1,0,0,0,0,0,0,0,0
192,1,1,1,0,0,0,0,0,0,0,0,1
193,1,1,0,1,0,0,0,0,1,0,0,0
194,0,0,0,0,1,0,1,1,0,0,0,0
195,0,0,1,1,0,0,0,0,0,0,0,0
196,1,1,1,1,0,0,0,0,0,0,0,0
197,1,1,0,0,1,0,0,0,0,0,0,0
198,0,0,1,0,0,0,1,1,0,1,0,0
199,0,0,1,0,0,0,0,0,0,0,0,0
200,1,1,0,0,1,0,0,0,0,0,0,1
201,0,0,1,1,0,0,1,1,0,0,0,0
202,0,0,0,0,0,0,0,0,0,1,0,0
203,1,1,1,0,1,0,0,0,0,0,0,0
204,1,1,1,1,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,1,1,0,0,0,0
206,0,0,1,1,0,0,1,0,0,0,0,0
207,0,1,0,1,1,0,1,0,1,0,0,0
208,0,1,0,0,0,0,0,0,0,0,0,0
209,1,0,1,1,0,0,0,0,0,0,0,1
210,0,1,0,0,1,0,1,0,1,0,0,0
211,1,1,0,0,0,0,0,0,0,0,0,0
212,1,0,1,1,0,0,0,1,0,0,0,0
213,1,0,0,0,1,0,0,0,0,0,0,0
214,0,1,1,1,0,0,1,0,0,0,0,0
215,0,0,1,0,0,0,1,1,0,0,0,0
216,1,0,0,0,0,0,0,0,0,1,0,0
217,1,1,1,0,1,0,0,0,0,0,0,0
218,1,1,1,0,0,0,0,0,0,0,0,0
219,0,0,0,1,0,1,1,1,1,0,0,0
220,0,0,0,0,1,0,0,0,0,0,0,0
221,1,1,1,0,0,0,0,0,0,0,0,0
222,1,1,0,1,0,0,0,0,0,0,0,0
223,0,0,1,0,0,0,0,0,0,0,1,0
224,1,1,0,1,0,0,0,0,1,0,0,0
225,1,1,0,0,0,0,0,0,0,0,0,0
226,1,1,1,1,0,0,0,0,0,0,0,0
227,0,0,0,0,1,0,0,0,0,0,0,0
228,1,1,1,0,0,1,0,0,0,1,0,0
229,1,1,1,0,0,0,0,0,0,0,0,0
230,0,0,0,0,1,0,0,0,0,0,0,0
231,1,1,1,1,0,0,0,0,0,0,0,0
232,1,1,1,0,0,0,0,0,0,0,0,0
233,0,0,0,1,1,0,0,0,0,0,0,0
234,1,1,1,0,0,0,0,0,0,0,0,0
235,1,1,1,0,0,1,0,0,0,1,0,0
236,0,0,0,0,0,0,0,0,0,0,1,0
237,1,1,1,0,0,1,0,0,0,0,0,0
238,1,1,1,1,0,0,0,0,0,0,0,0
239,1,1,0,0,0,0,0,0,0,0,0,0
240,1,1,1,1,1,0,0,0,0,0,0,0
241,0,0,0,0,0,1,0,0,1,0,0,0
242,1,1,0,0,0,0,0,0,0,0,0,0
243,1,1,1,1,1,0,1,0,0,0,0,0
244,1,1,0,0,0,0,0,0,0,0,0,0
245,0,0,1,1,0,0,0,0,0,0,0,0
246,1,1,1,0,1,1,0,0,0,0,0,0
247,1,1,0,0,0,0,0,0,0,0,0,0
248,0,0,1,1,0,0,1,1,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,1,0
250,1,1,1,1,0,0,0,0,0,0,0,0
251,0,0,0,0,0,1,1,1,1,0,0,0
252,0,0,0,1,0,0,0,0,0,0,0,0
253,1,1,1,0,1,0,0,0,0,0,0,0
254,1,1,0,1,0,0,0,0,1,0,0,0
255,1,1,0,0,0,0,0,0,0,0,0,0
256,0,0,1,0,1,1,0,0,0,1,0,0
257,1,1,0,0,0,0,0,0,0,0,0,0
258,1,1,1,1,0,0,0,0,0,0,0,0
259,1,1,1,1,0,0,0,0,0,0,1,0
260,0,0,0,1,0,0,1,1,1,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0
262,1,1,1,1,0,1,0,0,0,0,1,0
263,0,0,0,0,0,0,1,1,1,0,0,0
264,0,0,0,1,0,0,0,0,0,0,0,0
265,1,1,1,0,0,0,0,0,0,1,0,0
266,1,1,0,0,1,1,0,0,0,0,0,0
267,1,1,1,1,0,0,0,0,0,0,0,0
268,0,0,1,1,0,0,1,1,0,0,0,0
269,0,0,0,0,1,0,0,0,0,0,0,0
270,1,1,1,0,0,1,0,0,0,1,0,0
