,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
476,6,6,5,3,2,1
477,6,5,5,3,3,3
478,6,6,5,3,3,2
479,6,6,4,4,2,1
480,9,6,6,3,3,2
481,5,5,5,4,2,2
482,6,6,5,3,2,2
483,5,5,4,3,3,2
484,6,6,5,4,2,2
485,6,6,6,3,2,2
486,6,6,7,3,3,2
487,5,5,5,3,3,1
488,6,6,6,3,2,2
489,5,5,5,3,2,1
490,6,6,5,3,3,1
491,5,5,5,4,3,1
492,5,5,5,3,2,0
493,6,6,6,3,3,1
494,5,5,5,3,3,2
495,5,5,4,3,2,0
496,6,6,6,4,3,2
497,5,5,5,3,2,2
498,8,6,5,3,2,1
499,10,6,5,4,2,1
500,7,6,5,3,3,2
501,6,5,5,3,2,1
502,9,6,5,3,3,2
503,7,5,5,4,2,2
504,6,6,6,3,2,2
505,7,6,5,4,3,2
506,6,6,6,3,2,1
507,5,5,5,3,2,2
508,6,9,5,3,2,1
509,6,10,5,4,4,1
510,6,6,6,4,3,2
511,6,5,4,3,3,1
512,6,6,5,3,3,3
513,5,5,5,3,2,1
514,6,6,5,3,3,2
515,7,6,5,3,2,1
516,5,5,5,4,2,1
517,6,6,5,3,2,2
518,5,5,5,3,3,2
519,6,6,5,4,2,2
520,6,6,5,3,3,2
521,8,6,5,3,3,2
522,5,5,5,3,2,2
523,6,6,5,3,2,1
524,5,5,5,3,3,2
525,5,5,5,3,2,2
526,6,6,5,4,3,1
527,6,6,6,3,2,2
528,6,6,5,3,2,2
529,5,5,5,3,3,1
530,6,6,5,3,2,1
531,6,8,6,4,2,1
532,5,5,5,3,3,1
533,6,6,5,3,3,3
534,6,5,4,3,2,1
535,6,6,6,4,2,2
536,5,5,4,3,3,2
537,6,6,6,3,2,2
538,6,5,5,4,3,2
539,6,6,5,3,2,2
540,6,6,5,4,3,2
541,7,5,5,3,2,2
542,9,6,9,3,3,0
543,5,5,5,3,2,1
544,6,6,5,3,3,2
545,8,5,6,4,3,2
546,8,6,5,3,3,2
547,6,6,5,3,3,2
548,5,5,5,3,2,2
549,6,5,5,4,2,2
550,7,7,5,3,3,2
551,5,6,5,3,3,2
552,6,7,5,4,3,2
553,7,6,6,3,2,2
554,5,5,4,4,2,2
555,6,6,6,3,3,2
556,7,5,5,3,3,1
557,6,6,5,3,3,2
558,7,6,5,3,3,1
559,6,7,5,4,2,2
560,6,6,5,3,3,1
561,9,5,4,3,3,2
562,6,6,5,3,3,2
563,6,6,6,3,3,1
564,5,5,4,4,2,2
565,8,6,5,4,3,2
566,5,5,5,3,2,2
567,6,6,5,3,2,2
568,5,5,5,3,2,2
569,9,5,5,3,3,2
570,9,6,5,3,3,1
571,6,6,5,4,2,1
572,5,5,5,3,3,1
573,7,7,5,3,3,2
574,6,6,5,3,2,1
575,6,7,6,3,3,2
576,6,5,4,3,2,2
577,7,7,5,3,3,0
578,5,5,5,4,2,2
579,7,6,6,3,2,2
580,5,5,5,3,2,1
581,6,6,5,3,3,1
582,5,5,5,3,2,2
583,6,6,6,3,3,1
584,5,6,4,3,2,3
585,8,7,6,4,2,1
586,5,5,5,3,4,3
587,8,6,5,4,3,1
588,7,7,6,3,3,2
589,7,6,5,3,2,1
590,6,8,6,4,3,1
591,9,6,6,3,2,2
592,9,5,5,4,3,3
593,6,5,5,3,3,2
594,6,6,5,3,2,2
595,6,6,5,3,3,2
596,6,6,5,3,3,1
597,6,6,6,3,3,2
598,6,6,5,4,2,1
599,7,6,5,3,3,3
600,5,5,5,3,2,1
601,6,6,5,3,2,1
602,5,5,6,3,3,1
603,7,6,5,4,2,2
604,7,6,5,3,4,3
605,6,6,6,4,4,2
606,9,5,5,3,2,1
607,7,8,4,3,2,2
608,10,5,5,4,2,2
609,6,6,5,4,3,2
610,6,6,5,3,2,1
611,6,5,5,3,3,2
612,6,6,5,3,2,2
613,5,5,5,3,3,2
614,7,7,5,4,2,2
615,6,6,5,3,3,1
616,6,6,6,3,2,2
617,5,5,4,3,3,1
618,7,5,5,3,2,1
619,6,6,5,3,3,0
620,6,5,5,3,3,2
621,6,6,5,4,2,1
622,6,5,5,3,2,3
623,6,6,5,3,3,2
624,5,5,5,3,4,1
625,6,6,4,4,2,2
626,6,7,5,3,3,3
627,10,7,5,3,2,1
628,7,10,5,3,2,2
629,9,9,5,5,3,1
630,10,6,6,3,3,2
631,6,6,5,3,3,1
632,6,6,6,5,2,2
633,6,6,5,3,3,2
634,8,5,5,3,2,1
635,8,8,6,3,3,2
636,9,7,6,3,2,3
637,7,6,5,4,3,1
638,5,5,4,3,2,2
639,6,6,6,3,3,1
640,5,5,4,3,2,2
641,6,6,5,3,3,2
642,6,7,6,4,2,1
643,7,7,4,3,3,2
644,6,5,5,3,2,0
645,7,6,5,3,2,2
646,6,6,5,3,3,2
647,6,6,5,3,2,1
648,6,6,5,3,4,2
649,5,5,5,4,2,2
650,6,6,5,3,4,2
651,7,6,5,3,2,2
652,8,5,5,4,2,2
653,7,7,5,3,3,2
654,8,6,5,4,2,3
655,6,6,5,3,3,1
656,5,5,5,3,2,3
657,6,6,8,3,2,1
658,5,5,7,3,3,2
659,7,6,5,4,2,1
660,6,6,6,3,3,1
661,7,6,5,4,2,1
662,7,6,5,3,2,2
663,6,5,5,3,3,2
664,6,6,5,3,2,2
665,5,5,5,4,2,1
666,6,6,5,3,3,2
667,5,5,5,4,3,1
668,6,6,5,3,2,0
669,6,6,5,4,3,2
670,7,6,6,3,2,2
671,5,5,4,5,3,1
672,5,5,5,3,2,1
673,6,6,6,3,3,2
674,6,5,5,3,3,2
675,5,5,4,3,2,1
676,6,6,5,4,2,2
677,5,6,5,4,3,1
678,8,6,5,4,2,2
679,7,6,5,3,3,2
680,7,6,6,3,2,1
681,7,6,6,4,2,3
682,7,6,5,3,3,1
683,5,5,5,3,3,2
684,9,7,5,3,2,1
685,6,6,5,3,3,2
686,6,7,6,3,3,1
687,8,5,4,3,3,1
688,7,6,5,3,2,1
689,5,5,5,4,3,2
690,6,6,5,3,2,3
691,5,5,5,3,3,2
692,7,6,5,3,2,1
693,6,6,5,4,2,2
694,6,6,5,3,3,1
695,5,5,5,4,2,3
696,6,6,6,3,2,2
697,6,6,6,3,3,1
698,5,5,5,3,2,2
699,6,6,5,3,3,1
700,6,6,5,3,2,2
701,5,5,5,3,2,1
702,6,6,4,4,3,2
703,6,5,6,3,2,2
704,5,5,5,3,3,2
705,6,6,5,3,2,3
706,8,10,5,4,2,2
707,5,5,5,3,3,2
708,6,6,6,4,2,2
709,9,8,5,3,2,2
710,6,6,5,4,3,2
711,7,6,6,3,2,1
712,7,7,5,3,3,1
713,6,6,5,4,2,1
714,6,6,5,3,2,2
