,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
257,1,1,1,1,0,0,0,0,0,0,1,0
258,1,1,0,0,0,0,0,0,0,0,1,0
259,0,0,0,0,0,0,1,1,0,0,0,0
260,0,0,0,0,0,0,1,0,1,0,0,0
261,1,0,0,0,0,0,0,0,0,0,0,0
262,1,1,0,1,0,0,0,0,0,0,0,0
263,1,1,1,1,0,0,0,0,0,0,0,0
264,0,0,1,1,1,1,0,0,0,0,0,0
265,1,1,0,1,0,1,0,0,1,0,0,0
266,1,1,1,0,0,0,0,0,0,0,0,0
267,1,1,1,1,0,0,0,0,0,0,0,0
268,0,0,1,0,0,0,1,1,0,0,0,0
269,0,0,0,1,0,0,1,1,0,0,0,0
270,1,1,1,0,1,0,0,0,0,0,0,0
271,1,1,1,1,0,0,0,0,0,0,0,0
272,1,1,0,1,0,0,0,0,1,0,0,0
273,1,1,0,0,1,0,0,0,0,1,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0
275,1,1,1,0,0,0,0,0,0,1,1,0
276,0,0,0,0,0,1,1,1,1,0,0,0
277,1,1,1,1,0,2,0,0,0,0,0,0
278,1,1,1,1,0,1,0,0,0,0,0,0
279,1,1,1,0,0,0,0,0,0,0,0,0
280,0,1,1,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0
282,1,1,1,1,0,1,0,0,0,0,0,0
283,0,0,1,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0
285,1,1,1,0,0,0,0,0,0,0,0,0
286,1,1,0,0,0,0,0,0,0,0,0,0
287,0,0,1,1,0,0,0,0,0,0,0,0
288,1,1,1,0,1,0,0,0,0,0,0,1
289,0,0,0,1,0,0,1,1,1,0,0,0
290,0,0,1,1,0,1,0,0,0,0,0,0
291,0,0,0,0,1,0,1,1,0,0,0,0
