,s0,s1,s2,s3,s4,s5,q0,q1,q2,q3,q4,q5
231,1,1,1,0,0,1,0,0,0,0,0,0
232,0,0,1,0,0,1,0,0,0,0,0,0
233,0,0,1,0,0,1,0,0,0,0,0,0
234,0,0,1,0,0,1,0,0,0,0,0,0
235,0,0,1,0,0,1,0,0,0,0,0,0
236,0,0,1,0,0,1,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,1,1,0,0,0,0
239,1,1,0,0,0,0,0,0,0,0,0,0
240,1,1,0,0,0,0,0,0,0,0,1,0
241,1,1,0,0,1,0,0,0,0,0,0,0
242,1,1,0,0,1,0,0,0,0,0,0,0
243,1,1,0,0,1,0,0,0,0,0,0,0
244,1,1,0,0,1,0,0,0,0,0,0,0
245,1,1,0,0,1,0,0,0,0,0,0,0
246,1,1,0,0,1,0,0,0,1,0,0,0
247,1,1,1,0,1,0,0,0,0,0,0,0
248,1,1,1,0,1,0,0,0,0,0,0,0
249,0,0,1,0,1,0,0,0,0,0,0,0
250,0,0,1,0,1,0,0,0,0,0,0,0
251,0,0,1,0,0,0,0,0,0,1,0,0
252,0,0,1,1,0,0,0,0,0,0,0,0
253,0,0,1,1,0,0,0,0,0,0,0,0
254,0,0,1,1,0,0,0,0,0,0,0,0
255,0,0,1,1,0,0,1,1,0,0,0,0
256,1,1,1,1,0,0,0,0,0,0,0,0
257,1,1,0,1,0,0,0,0,0,0,0,0
258,1,1,0,1,0,0,0,0,0,0,0,0
259,1,1,0,1,0,0,0,0,0,0,0,0
260,1,1,0,1,0,0,0,0,0,0,0,0
261,1,1,0,1,0,0,0,0,0,0,0,0
262,1,1,0,0,0,0,0,0,0,0,0,0
263,1,1,0,0,0,0,0,0,0,0,0,0
264,1,1,0,0,0,0,0,0,1,0,0,0
265,1,1,1,0,0,0,0,0,0,0,0,0
266,0,0,1,0,0,0,0,0,0,0,0,0
267,0,0,1,0,0,0,0,0,0,0,0,0
268,0,0,1,0,0,0,0,0,0,0,0,0
269,0,0,1,0,0,0,0,0,0,0,0,0
