,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
10376,0,4,0,7,10,7
10377,1,5,1,8,11,8
10378,0,0,2,0,12,9
10379,1,1,3,1,13,10
10380,2,2,4,2,14,0
10381,0,3,5,3,0,1
10382,1,4,6,4,1,2
10383,2,5,7,5,2,3
10384,3,6,0,6,3,4
10385,0,0,1,7,4,5
10386,1,1,2,8,5,6
10387,2,2,3,9,6,7
10388,3,3,4,10,7,8
10389,0,4,5,0,8,9
10390,1,5,0,1,9,10
10391,2,0,1,2,10,11
10392,3,1,2,3,11,12
10393,4,2,3,4,12,13
10394,0,3,4,5,13,14
10395,1,4,5,6,14,15
10396,2,5,6,7,0,16
10397,3,6,7,8,1,17
10398,0,0,0,9,2,18
10399,1,1,1,10,3,19
10400,2,2,2,0,4,20
10401,3,3,3,1,5,21
10402,4,4,4,2,6,22
10403,0,0,5,3,7,23
10404,1,1,6,4,8,24
10405,2,2,0,5,9,0
10406,3,3,1,6,10,1
10407,4,4,2,7,0,2
10408,5,5,3,8,1,3
10409,0,0,4,9,2,4
10410,1,1,0,0,3,5
10411,2,2,1,1,4,6
10412,3,3,0,2,5,7
10413,4,4,1,3,6,8
10414,5,5,2,4,7,9
10415,0,0,0,5,8,10
10416,1,1,1,6,9,11
10417,2,2,2,7,10,12
10418,3,3,3,8,11,13
10419,4,4,0,0,12,14
10420,0,0,1,1,13,15
10421,1,1,0,2,0,16
10422,2,2,1,3,1,17
10423,3,3,2,4,2,18
10424,4,4,3,5,3,19
10425,5,5,0,6,4,20
10426,0,0,1,7,5,21
10427,1,1,2,8,6,22
10428,2,2,3,9,7,23
10429,3,3,0,10,8,24
10430,4,4,1,11,9,25
10431,5,5,2,0,0,26
10432,0,0,3,1,1,27
10433,1,1,4,2,2,28
10434,2,2,5,3,3,29
10435,3,3,6,4,4,30
10436,4,4,0,5,5,31
10437,5,5,1,6,6,32
10438,6,6,2,7,7,33
10439,0,0,3,8,8,34
10440,1,1,4,9,9,35
10441,2,2,5,0,10,36
10442,3,3,6,1,11,0
10443,4,4,0,2,12,1
10444,5,5,1,3,13,2
10445,0,0,2,4,14,3
10446,1,1,3,5,0,4
10447,2,2,4,6,1,5
10448,3,3,5,7,2,6
10449,4,4,6,8,3,7
10450,5,5,0,9,4,8
10451,0,0,1,0,5,9
10452,1,1,2,1,6,10
10453,2,2,3,2,7,11
10454,3,3,4,3,8,12
10455,4,4,5,4,9,13
10456,5,5,6,5,10,14
10457,0,0,0,6,11,15
10458,1,1,1,0,12,16
10459,2,2,2,1,13,17
10460,3,3,3,2,0,0
10461,4,4,4,3,1,1
10462,5,5,5,4,2,2
10463,0,0,0,5,3,3
10464,1,1,1,6,4,4
10465,2,2,2,7,5,5
10466,3,3,3,8,6,6
10467,4,4,4,9,7,7
10468,5,5,5,10,8,8
10469,0,0,0,0,9,9
10470,1,1,1,1,10,10
10471,2,2,2,2,11,11
10472,3,3,3,3,12,12
10473,4,4,4,4,13,13
10474,5,5,5,5,14,14
10475,6,6,6,6,0,15
10476,0,0,0,7,1,16
10477,1,1,1,8,2,17
10478,2,2,2,9,3,18
10479,3,3,3,10,4,19
10480,4,4,4,0,5,0
10481,5,5,5,1,6,1
10482,0,0,0,2,7,2
10483,1,1,1,3,8,3
10484,2,2,2,4,9,4
10485,3,3,3,5,10,5
10486,4,4,4,6,11,6
10487,5,5,5,7,12,7
10488,0,0,6,8,0,8
10489,1,1,7,9,1,9
10490,2,2,0,10,2,10
10491,3,3,1,0,3,11
10492,4,4,2,1,4,12
10493,5,5,3,2,5,13
10494,0,0,4,3,6,14
10495,1,1,5,4,7,15
10496,2,2,6,5,8,16
10497,3,3,0,6,9,17
10498,4,4,1,7,10,18
10499,5,5,2,8,0,19
10500,0,0,3,9,1,20
10501,1,1,4,0,2,21
10502,2,2,5,1,3,22
10503,3,3,6,2,4,23
10504,4,4,0,3,5,24
10505,5,5,1,4,6,0
10506,0,0,2,5,7,1
10507,1,1,3,6,8,2
10508,2,2,4,7,9,3
10509,3,3,5,8,10,4
10510,4,4,6,9,11,5
10511,5,5,0,10,12,0
10512,0,0,1,0,13,1
10513,1,1,2,1,0,2
10514,2,2,3,2,1,3
10515,3,3,4,3,2,4
10516,4,4,5,4,3,5
10517,0,0,0,5,4,6
10518,1,1,1,6,5,7
10519,2,2,2,7,6,8
10520,3,3,3,8,7,9
10521,4,4,4,9,8,10
10522,5,5,5,0,9,11
10523,0,0,6,1,10,12
10524,1,0,7,2,11,13
10525,2,1,0,3,12,14
10526,3,2,1,4,13,15
10527,4,3,2,5,0,16
10528,0,0,3,6,1,17
10529,1,1,4,7,2,0
10530,2,2,5,8,3,1
10531,3,3,6,9,4,2
10532,4,4,0,10,5,3
10533,5,5,1,0,6,4
10534,0,0,2,1,7,5
10535,1,1,3,2,8,6
10536,2,2,4,3,9,7
10537,3,3,5,4,0,8
10538,4,4,6,5,1,9
10539,5,5,0,6,2,10
10540,0,0,1,7,3,11
10541,1,1,2,8,4,12
10542,2,2,3,9,5,13
10543,3,3,4,10,6,14
10544,4,4,5,11,7,15
10545,5,5,6,0,8,16
10546,0,0,0,1,9,17
10547,1,1,1,2,10,18
10548,2,2,2,3,11,19
10549,0,3,3,4,12,20
10550,1,4,4,5,0,0
10551,0,0,5,6,1,1
10552,1,1,6,7,2,2
10553,2,2,0,8,3,3
10554,0,3,1,9,4,4
10555,1,4,2,0,5,5
10556,2,5,3,1,6,6
10557,0,0,4,2,7,7
10558,1,1,5,3,8,8
10559,2,2,6,4,9,9
10560,0,3,0,5,10,10
10561,1,4,1,6,11,11
10562,2,5,2,7,12,12
10563,3,6,3,8,0,13
10564,0,0,4,9,1,14
10565,1,1,5,10,2,15
10566,0,2,0,0,3,16
10567,1,3,1,1,4,17
10568,2,4,2,2,5,18
10569,0,0,3,3,6,19
10570,1,1,4,4,7,20
10571,2,2,5,5,8,21
10572,3,3,6,6,9,22
10573,0,4,0,7,10,23
10574,1,5,1,8,11,24
10575,2,6,2,0,12,0
10576,3,0,3,1,13,1
10577,4,1,4,2,14,2
10578,5,2,5,3,0,3
10579,0,3,0,4,1,4
10580,1,4,1,5,2,5
10581,2,5,2,6,3,6
10582,3,6,3,7,4,7
10583,0,0,4,8,5,8
10584,1,1,5,9,6,9
10585,0,2,0,0,7,10
10586,1,3,1,1,8,11
10587,2,4,2,2,9,12
10588,0,0,3,3,10,13
10589,1,1,4,4,11,14
10590,2,2,5,5,12,15
10591,3,3,6,6,13,16
10592,0,4,7,7,0,17
10593,1,0,0,8,1,0
10594,2,1,1,9,2,1
10595,3,2,2,10,3,2
10596,4,3,3,0,4,3
10597,0,0,4,1,5,4
10598,1,1,5,2,6,5
10599,2,2,0,3,7,6
10600,3,3,1,4,8,7
10601,4,4,2,5,9,8
10602,5,0,3,6,10,9
10603,0,1,4,7,11,10
10604,1,2,5,8,12,11
10605,2,3,6,0,13,12
10606,3,4,0,1,14,13
10607,4,5,1,2,15,14
10608,0,0,2,3,0,15
10609,1,1,3,4,1,16
10610,2,2,4,5,2,17
10611,3,3,5,6,3,18
10612,4,4,6,7,4,19
10613,5,0,0,8,5,20
10614,0,0,1,9,6,21
10615,1,1,2,10,7,22
10616,2,2,3,0,8,23
10617,3,3,4,1,9,24
10618,4,4,5,2,10,0
10619,5,0,6,3,11,1
10620,0,1,0,4,12,2
10621,1,2,1,5,0,3
10622,2,3,2,6,1,4
10623,3,4,3,7,2,5
10624,4,5,4,8,3,6
10625,0,0,5,9,4,7
10626,1,1,6,10,5,8
10627,0,2,0,0,6,0
10628,1,3,1,1,7,1
10629,2,4,2,2,8,2
10630,0,0,3,3,9,3
10631,1,1,4,4,10,4
10632,2,2,5,5,11,5
10633,3,3,6,6,12,6
10634,0,4,0,7,13,7
10635,1,5,1,8,0,8
10636,2,0,2,9,1,0
10637,3,1,3,10,2,1
10638,4,2,4,0,3,2
10639,5,3,5,1,4,3
10640,0,0,0,2,5,4
10641,1,1,1,3,6,5
10642,2,2,2,4,7,6
10643,3,3,3,5,8,7
10644,4,4,4,6,0,8
10645,5,5,5,7,1,9
10646,0,0,0,8,2,10
10647,1,1,1,9,3,11
10648,2,2,2,0,4,12
10649,3,3,3,1,5,13
10650,4,4,4,2,6,14
10651,5,5,5,3,0,15
10652,0,0,0,4,1,16
10653,1,1,1,5,2,17
10654,2,2,2,6,3,18
10655,3,3,3,7,4,19
10656,4,4,4,8,5,20
10657,5,5,5,9,6,21
10658,0,0,0,0,7,22
10659,1,1,1,1,8,23
10660,2,2,2,2,9,0
10661,3,0,3,3,10,1
10662,4,1,4,4,11,2
10663,0,0,5,5,12,3
10664,1,0,0,6,13,4
10665,2,1,1,7,0,5
10666,3,2,2,8,1,6
10667,4,3,3,9,2,7
10668,0,4,4,10,3,8
10669,1,0,5,11,4,9
10670,2,1,0,0,5,10
10671,3,2,1,1,6,11
10672,0,3,2,2,7,12
10673,0,4,3,3,8,13
10674,1,5,4,4,9,14
10675,2,6,5,5,10,15
10676,0,0,0,6,11,16
10677,1,1,1,7,12,17
10678,2,2,2,8,13,18
10679,3,3,3,9,14,0
10680,4,4,4,0,15,1
10681,0,0,5,1,0,2
10682,1,1,6,2,1,3
10683,0,2,0,3,2,4
10684,1,3,1,4,3,5
10685,2,4,2,5,4,6
10686,3,5,3,6,5,7
10687,4,6,4,7,6,8
10688,0,0,5,8,7,9
10689,1,1,0,9,8,10
10690,2,2,1,0,9,11
10691,3,3,2,1,10,12
10692,4,4,3,2,11,13
10693,5,5,4,3,12,14
10694,0,0,5,4,13,15
10695,1,1,6,5,0,16
10696,2,2,0,6,1,17
10697,3,3,1,7,2,18
10698,4,4,2,8,3,0
10699,5,5,3,9,4,1
10700,0,0,4,10,5,2
10701,1,1,5,0,6,3
10702,2,2,6,1,7,4
10703,3,3,7,2,8,5
10704,4,4,0,3,9,0
10705,5,5,1,4,10,1
10706,0,0,2,5,11,2
10707,1,1,3,6,12,3
10708,2,2,4,7,13,4
10709,3,3,5,8,14,5
10710,4,4,0,0,15,6
10711,5,5,1,1,0,7
10712,0,0,2,2,1,8
10713,1,1,3,3,2,9
10714,2,2,4,4,3,10
10715,3,3,5,5,4,11
10716,4,4,6,6,5,12
10717,5,5,7,7,6,13
10718,0,0,0,8,0,14
10719,1,1,1,9,1,15
10720,2,2,2,10,2,16
10721,3,3,3,0,3,0
10722,4,4,4,1,4,1
10723,5,5,5,2,5,2
10724,0,0,0,3,6,3
10725,1,1,1,4,7,4
10726,2,2,2,5,8,5
10727,3,3,3,6,9,6
10728,4,4,4,7,0,7
10729,5,5,5,8,1,8
10730,0,0,0,9,2,9
10731,1,1,1,10,3,10
10732,2,2,2,11,4,11
10733,3,3,3,0,5,12
10734,4,4,4,1,6,13
10735,5,5,5,2,7,14
10736,6,6,6,3,8,15
10737,0,0,0,4,9,16
10738,1,1,1,5,10,17
10739,2,2,2,6,11,18
10740,3,3,3,7,12,19
10741,4,4,4,8,0,20
10742,0,0,5,0,1,21
10743,1,1,6,1,2,22
10744,2,2,0,2,3,23
10745,3,3,1,3,4,24
10746,4,4,2,4,5,25
10747,5,5,3,5,6,26
10748,0,0,4,6,7,27
10749,1,1,5,7,8,28
10750,2,2,6,8,9,29
10751,3,3,0,9,10,30
10752,4,4,1,10,11,31
10753,5,5,2,0,12,32
10754,0,0,3,1,13,33
10755,1,1,4,2,0,34
10756,2,2,5,3,1,35
10757,3,3,0,4,2,0
10758,4,4,1,5,3,1
10759,5,5,2,6,4,2
10760,0,0,3,7,5,3
10761,1,1,4,8,6,4
10762,2,2,5,9,7,5
10763,3,3,6,10,8,6
10764,4,4,0,0,9,7
10765,5,5,1,1,10,8
10766,0,0,2,2,11,9
10767,1,1,3,3,12,10
10768,2,2,4,4,13,11
10769,3,3,5,5,0,12
10770,4,4,6,6,1,13
10771,0,0,0,7,2,14
10772,1,1,1,8,3,15
10773,2,2,2,9,4,16
10774,3,3,3,10,5,17
10775,4,4,4,0,6,18
10776,5,5,5,1,7,19
10777,6,6,6,2,8,20
10778,0,0,0,3,9,21
10779,1,1,1,4,10,22
10780,2,2,2,5,11,23
10781,3,3,3,6,12,24
10782,4,4,4,7,13,25
10783,5,5,5,8,14,26
10784,6,6,6,9,0,27
10785,0,0,0,10,1,28
10786,1,1,1,0,2,29
10787,2,2,2,1,3,30
10788,3,3,3,2,4,31
10789,4,4,4,3,5,32
10790,5,5,5,4,6,33
10791,0,0,0,5,7,34
10792,1,1,1,6,8,35
10793,2,2,2,7,9,36
10794,3,3,3,8,10,37
10795,4,4,4,9,11,38
10796,5,5,5,10,12,39
10797,0,0,0,0,13,40
10798,1,1,1,1,0,41
10799,2,2,2,2,1,0
10800,3,3,3,3,2,1
10801,4,4,4,4,3,2
10802,5,5,5,5,4,3
10803,0,0,0,6,5,4
10804,1,1,1,7,6,5
10805,2,2,2,8,7,6
10806,3,3,3,9,8,7
10807,4,4,4,10,9,8
10808,5,5,5,0,10,9
10809,0,0,0,1,11,10
10810,1,1,1,2,12,11
10811,2,2,2,3,13,12
10812,3,3,3,4,14,13
10813,4,4,4,5,0,14
10814,5,5,5,6,1,15
10815,0,0,0,7,2,16
10816,1,1,1,8,3,0
10817,2,2,2,9,4,1
10818,3,3,3,0,5,2
10819,4,4,4,1,6,3
10820,5,5,0,2,7,4
10821,0,0,1,3,8,5
10822,1,1,2,4,9,6
10823,2,2,3,5,10,7
10824,3,3,4,6,11,8
10825,4,4,5,0,0,9
10826,5,5,6,1,1,10
10827,0,0,0,2,2,11
10828,1,1,1,3,3,12
10829,2,2,2,4,4,13
10830,3,3,3,5,5,14
10831,4,4,4,6,6,15
10832,0,0,0,7,7,16
10833,1,1,1,8,8,17
10834,2,2,2,9,9,18
10835,3,3,3,0,10,19
10836,4,4,4,1,11,20
10837,5,5,5,2,12,21
10838,6,6,6,3,0,22
10839,0,0,0,4,1,23
10840,1,1,1,5,2,24
10841,2,2,2,6,3,25
10842,3,3,3,7,4,26
10843,4,4,4,8,5,27
10844,5,5,5,9,6,28
10845,0,0,0,0,7,29
10846,1,1,1,1,8,30
10847,2,2,2,2,9,31
10848,3,3,3,3,10,32
10849,4,4,4,4,0,33
10850,5,5,5,5,1,34
10851,0,0,0,6,2,35
10852,1,1,1,7,3,36
10853,2,2,2,8,4,37
10854,3,3,3,9,5,38
10855,4,4,4,10,6,39
10856,5,5,5,0,7,40
10857,0,0,0,1,8,0
10858,1,1,1,2,9,1
10859,2,2,2,3,10,2
10860,3,3,3,4,11,3
10861,4,4,4,5,12,4
10862,5,5,0,6,13,5
10863,0,0,1,7,0,6
10864,1,1,2,8,1,7
10865,2,2,3,9,2,8
10866,3,3,4,10,3,9
10867,4,4,5,11,4,10
10868,0,0,6,0,5,11
10869,1,1,7,1,6,12
10870,2,2,0,2,7,13
10871,3,3,1,3,8,14
10872,4,4,2,4,9,15
10873,5,5,3,5,10,16
10874,0,0,4,6,0,17
10875,1,1,5,7,1,18
10876,2,2,0,8,2,19
10877,3,3,1,9,3,20
10878,4,4,2,0,4,21
10879,0,0,3,1,5,22
10880,1,1,4,2,6,23
10881,2,2,5,3,0,24
10882,3,3,0,4,1,25
10883,4,4,1,5,2,26
10884,5,5,2,6,3,27
10885,0,0,3,7,4,28
10886,1,1,4,8,5,29
10887,2,2,5,9,0,30
10888,3,3,6,10,1,31
10889,4,4,0,0,2,32
10890,5,5,1,1,3,33
10891,0,0,2,2,4,34
10892,1,1,3,3,5,35
10893,2,2,4,4,6,36
10894,3,3,5,5,7,37
10895,4,4,6,6,8,38
10896,5,5,7,7,9,39
10897,0,0,0,8,10,40
10898,1,1,1,9,11,41
10899,2,2,2,0,12,42
10900,3,3,3,1,13,0
10901,4,4,4,2,14,1
10902,5,5,5,3,0,2
10903,0,0,6,4,1,3
10904,1,1,0,5,2,4
10905,2,2,1,6,3,5
10906,3,3,2,7,4,6
10907,4,4,3,8,5,7
10908,0,0,4,9,6,8
10909,1,1,5,0,7,9
10910,2,2,0,1,8,10
10911,3,3,1,2,9,11
10912,4,4,2,3,10,12
10913,5,5,3,4,11,13
10914,0,0,4,5,12,14
10915,1,1,5,6,13,15
10916,2,2,6,7,14,16
10917,3,3,0,8,0,17
10918,4,4,1,9,1,18
10919,5,5,2,10,2,19
10920,0,0,3,0,3,20
10921,1,1,4,1,4,21
10922,2,2,5,2,5,22
10923,3,3,6,3,6,23
10924,4,4,0,4,7,24
10925,5,5,1,5,8,25
10926,6,6,2,6,9,26
10927,0,0,3,7,10,27
10928,1,1,4,8,11,28
10929,2,2,5,9,12,0
10930,3,3,6,0,13,1
10931,4,4,0,1,0,2
10932,5,5,1,2,1,3
10933,0,0,2,3,2,4
10934,1,1,3,4,3,5
10935,2,2,4,5,4,6
10936,3,3,5,6,5,7
10937,4,4,0,7,6,0
10938,5,5,1,8,7,1
10939,6,6,2,9,8,2
10940,0,0,3,10,9,3
10941,1,1,4,0,10,4
10942,2,2,5,1,11,5
10943,3,3,6,2,12,6
10944,0,4,0,3,13,7
10945,1,5,1,4,14,8
10946,0,0,2,5,0,9
10947,1,1,3,6,1,10
10948,2,2,4,7,2,11
10949,0,3,5,8,3,12
10950,1,4,6,9,4,13
10951,0,0,7,10,5,14
10952,1,1,0,0,6,0
10953,2,2,1,1,7,1
10954,3,3,2,2,8,2
10955,4,4,3,3,9,3
10956,0,0,4,4,10,4
10957,1,1,5,5,11,5
10958,2,2,6,6,12,6
10959,3,3,0,7,13,7
10960,4,4,1,8,14,8
10961,5,5,2,9,15,9
10962,0,0,3,10,0,10
10963,1,1,4,0,1,11
10964,2,2,5,1,2,12
10965,3,3,0,2,3,13
10966,4,4,1,3,4,14
10967,0,0,2,4,5,15
10968,1,1,3,5,6,16
10969,2,2,4,6,7,17
10970,3,3,0,7,8,18
10971,4,4,1,8,9,19
10972,5,5,2,9,10,20
10973,0,0,3,0,11,21
10974,1,1,4,1,12,22
10975,2,2,5,2,13,23
10976,3,3,6,3,14,0
10977,0,4,0,4,0,1
10978,1,0,1,5,1,2
10979,2,1,2,6,2,3
10980,3,2,3,7,3,4
10981,4,3,4,8,4,5
10982,5,4,5,9,5,6
10983,0,0,0,10,6,7
10984,1,0,1,0,7,8
10985,2,1,2,1,8,9
10986,3,2,3,2,9,10
10987,4,3,4,3,10,11
10988,0,0,5,4,11,12
10989,1,1,6,5,12,13
10990,2,2,0,6,13,14
10991,3,0,1,7,0,15
10992,4,1,2,8,1,16
10993,5,2,3,9,2,17
10994,0,0,4,10,3,18
10995,1,1,5,11,4,19
10996,2,2,6,0,5,20
10997,3,3,7,1,6,21
10998,0,0,0,2,7,22
10999,1,1,1,3,8,0
11000,0,2,2,4,9,1
11001,1,3,3,5,10,2
11002,2,4,4,6,11,3
11003,3,5,5,7,12,4
11004,4,6,0,8,13,5
11005,0,0,1,0,0,6
11006,1,1,2,1,1,7
11007,2,2,3,2,2,8
11008,3,3,4,3,3,9
11009,4,4,5,4,4,10
11010,5,5,6,5,5,11
11011,0,0,7,6,6,12
11012,1,1,0,7,7,13
11013,2,2,1,8,8,14
11014,3,3,2,9,9,15
11015,4,4,3,0,10,16
11016,5,5,4,1,11,0
11017,0,0,5,2,12,1
11018,1,1,6,3,13,2
11019,2,2,7,4,0,3
11020,3,3,0,5,1,4
11021,4,4,1,6,2,5
11022,5,5,2,7,3,6
11023,6,6,3,8,4,7
11024,0,0,4,9,5,8
11025,1,1,5,0,6,9
11026,2,2,6,1,7,10
11027,3,3,0,2,8,11
11028,4,4,1,3,9,12
11029,0,0,2,4,10,13
11030,1,1,3,5,11,14
11031,2,2,4,6,12,15
11032,3,3,5,7,13,16
11033,4,4,0,8,0,17
11034,5,5,1,9,1,18
11035,6,6,2,10,2,19
11036,0,0,3,0,3,20
11037,1,1,4,1,4,21
11038,2,2,5,2,5,22
11039,3,3,0,3,6,23
11040,4,4,1,4,7,24
11041,0,0,2,5,8,25
11042,1,1,3,6,9,0
11043,2,2,4,7,10,1
11044,3,3,0,8,0,2
11045,4,4,1,9,1,3
11046,5,5,2,10,2,4
11047,6,6,3,0,3,5
11048,0,0,4,1,4,6
11049,1,1,5,2,5,7
11050,2,2,6,3,6,8
11051,3,3,7,4,7,9
11052,4,4,0,5,8,0
11053,5,5,1,6,9,1
11054,0,0,2,7,10,2
11055,1,1,3,8,11,3
11056,2,2,4,9,12,4
11057,3,3,5,0,13,5
11058,4,4,6,1,0,6
11059,5,5,0,2,1,0
11060,0,0,1,3,2,1
11061,1,1,2,4,3,2
11062,2,2,3,5,4,3
11063,3,3,4,6,5,4
11064,4,4,5,7,6,5
11065,5,5,6,8,7,6
11066,0,0,0,9,8,7
11067,1,1,1,0,9,8
11068,2,2,2,1,10,9
11069,3,3,3,2,11,10
11070,4,4,4,3,12,11
11071,0,0,0,4,13,12
11072,1,1,1,5,14,13
11073,2,2,2,6,0,14
11074,3,3,3,0,1,15
11075,4,4,4,1,2,16
11076,5,5,5,2,3,17
11077,6,6,0,3,4,0
11078,0,0,1,4,5,1
11079,1,1,2,5,6,2
11080,2,2,3,6,7,3
11081,3,3,4,7,8,4
11082,4,0,0,8,9,5
11083,5,1,1,0,10,6
11084,0,0,2,1,11,7
11085,1,1,3,2,0,8
11086,2,2,4,3,1,9
11087,3,3,5,4,2,10
11088,4,0,6,5,3,11
11089,5,1,0,6,4,12
11090,0,0,1,7,5,13
11091,1,1,2,8,6,14
11092,2,2,3,9,7,15
11093,3,3,4,10,8,16
11094,4,4,5,0,9,17
11095,0,0,6,1,10,18
11096,1,1,0,2,11,0
11097,2,2,1,3,12,1
11098,3,3,2,4,13,2
11099,4,4,3,5,14,3
11100,5,5,4,6,0,4
11101,0,0,5,7,1,5
11102,1,1,6,8,2,6
11103,2,2,0,9,3,7
11104,3,3,1,10,4,8
11105,4,4,2,0,5,9
11106,5,5,3,1,6,10
11107,0,0,4,2,7,11
11108,1,1,5,3,8,12
11109,2,2,6,4,9,13
11110,3,3,0,5,10,14
11111,4,4,1,6,11,15
11112,5,5,2,7,12,16
11113,0,0,3,8,13,17
11114,1,1,4,9,14,18
11115,2,2,5,0,0,19
11116,3,3,6,1,1,20
11117,4,4,0,2,2,21
11118,5,5,1,3,3,0
11119,0,0,2,4,4,1
11120,1,1,3,5,5,2
11121,2,2,4,6,6,3
11122,3,3,0,7,7,4
11123,4,4,1,8,8,5
11124,5,5,2,9,9,6
11125,0,0,3,0,10,7
11126,1,1,4,1,11,8
11127,2,2,5,2,12,9
11128,3,3,6,3,13,10
11129,4,4,0,4,0,0
11130,5,5,1,5,1,1
11131,0,0,2,6,2,2
11132,1,1,3,7,3,3
11133,2,2,4,8,4,4
11134,3,3,5,9,5,5
11135,4,4,6,10,6,6
11136,0,0,0,0,7,7
11137,1,1,1,1,8,8
11138,2,2,2,2,9,9
11139,3,3,3,3,10,10
11140,4,4,4,4,11,11
11141,5,5,5,5,12,0
11142,0,0,0,6,0,1
11143,1,1,1,7,1,2
11144,2,2,2,8,2,3
11145,3,3,3,9,3,4
11146,4,4,4,10,4,5
11147,5,5,5,11,5,6
11148,0,0,6,0,6,7
11149,1,1,0,1,7,8
11150,2,2,1,2,8,9
11151,3,3,2,3,9,10
11152,4,4,3,4,10,11
11153,5,5,4,5,11,12
11154,0,0,5,6,12,13
11155,1,1,6,7,13,14
11156,2,2,0,8,14,15
11157,3,3,1,9,0,16
11158,4,4,2,10,1,17
11159,5,5,3,0,2,18
11160,6,6,4,1,3,19
11161,0,0,5,2,4,20
11162,1,1,6,3,5,21
11163,2,2,0,4,6,0
11164,3,3,1,5,7,1
11165,4,4,2,6,8,2
11166,5,5,3,7,9,3
11167,0,0,4,8,10,4
11168,1,1,5,9,11,5
11169,2,2,0,0,12,6
11170,3,3,1,1,13,7
11171,0,4,2,2,0,8
11172,1,5,3,3,1,9
11173,2,0,4,4,2,10
11174,3,1,5,5,3,11
11175,4,2,6,6,4,12
11176,5,3,0,7,5,0
11177,6,4,1,8,6,1
11178,0,0,2,9,7,2
11179,1,1,3,10,8,3
11180,2,2,4,11,9,4
11181,3,3,0,0,10,5
11182,4,4,1,1,11,6
11183,5,5,2,2,12,7
11184,0,0,3,3,13,0
11185,1,1,4,4,0,1
11186,2,2,5,5,1,2
11187,3,3,6,6,2,3
11188,4,4,0,7,3,4
11189,5,5,1,8,4,5
11190,0,0,2,9,5,6
11191,1,1,3,10,6,7
11192,2,2,4,0,7,8
11193,3,3,5,1,8,9
11194,4,4,6,2,9,10
11195,0,0,0,3,10,11
11196,1,1,1,4,11,12
11197,2,2,2,5,12,13
11198,3,3,3,6,13,14
11199,4,4,4,7,14,15
11200,5,5,5,8,0,16
11201,0,0,0,9,1,17
11202,1,1,1,10,2,18
11203,2,2,2,0,3,19
11204,3,3,3,1,4,20
11205,4,4,4,2,5,21
11206,5,5,5,3,6,22
11207,6,6,6,4,7,23
11208,0,0,0,5,8,24
11209,1,1,1,6,9,25
11210,2,2,2,7,10,26
11211,3,3,3,8,11,27
11212,4,4,4,0,12,28
11213,5,5,5,1,13,29
11214,0,0,0,2,0,0
11215,1,1,1,3,1,1
11216,2,2,2,4,2,2
11217,3,3,3,5,3,3
11218,4,4,4,6,4,4
11219,5,5,5,7,5,5
11220,0,0,0,8,6,6
11221,1,1,1,9,7,7
11222,2,2,2,0,8,8
11223,3,3,3,1,9,9
11224,4,4,4,2,10,10
11225,5,5,5,3,11,11
11226,6,6,6,4,12,12
11227,0,0,0,5,13,0
11228,1,1,1,6,14,1
11229,2,2,2,7,0,2
11230,3,3,3,8,1,3
11231,4,4,4,9,2,4
11232,5,5,5,10,3,5
11233,0,0,0,0,4,6
11234,1,1,1,1,5,7
11235,2,2,2,2,6,8
11236,3,3,3,3,7,9
11237,4,4,4,4,8,10
11238,0,0,5,5,9,11
11239,1,1,6,6,10,12
11240,0,2,0,7,11,13
11241,1,3,1,8,12,14
11242,2,4,2,9,13,15
11243,3,5,3,0,14,16
11244,0,0,4,1,15,17
11245,1,1,5,2,0,18
11246,2,2,0,3,1,19
11247,3,3,1,4,2,20
11248,4,4,2,5,3,21
11249,5,5,3,6,4,22
11250,0,0,4,7,5,23
11251,1,1,5,8,6,24
11252,2,2,6,9,7,25
11253,3,3,0,0,8,26
11254,4,4,1,1,9,27
11255,5,5,2,2,10,0
11256,0,0,3,3,11,1
11257,1,1,4,4,12,2
11258,2,2,5,5,0,3
11259,3,3,6,6,1,4
11260,4,4,7,7,2,5
11261,5,5,0,8,3,6
11262,6,6,1,9,4,7
11263,0,0,2,0,5,8
11264,1,1,3,1,6,9
11265,2,2,4,2,7,10
11266,3,3,5,3,8,11
11267,4,4,0,4,9,12
11268,0,0,1,5,10,13
11269,1,1,2,6,11,14
11270,2,2,3,7,12,15
11271,3,3,4,8,13,16
11272,4,4,5,9,0,17
11273,0,0,0,10,1,18
11274,1,1,1,0,2,19
11275,2,2,2,1,3,20
11276,3,3,3,2,4,21
11277,4,4,4,3,5,22
11278,5,5,5,4,6,23
11279,0,0,0,5,7,24
11280,1,1,1,6,8,25
11281,2,2,2,7,9,26
11282,3,3,3,8,10,27
11283,4,4,4,9,11,28
11284,5,5,5,0,12,29
11285,0,0,0,1,13,30
11286,1,1,1,2,14,0
11287,2,2,2,3,0,1
11288,3,3,3,4,1,2
11289,4,4,4,5,2,3
11290,5,5,5,6,3,4
11291,6,6,6,7,4,5
11292,0,0,0,8,5,6
11293,1,1,1,9,6,7
11294,2,2,2,0,7,8
11295,3,3,3,1,0,9
11296,4,4,4,2,1,10
11297,5,5,5,3,2,11
11298,0,0,0,4,3,12
11299,1,1,1,5,0,0
11300,2,2,2,6,1,1
11301,3,3,3,7,2,2
11302,4,4,4,8,3,3
11303,5,5,5,9,4,4
