,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
67,2,2,2,2,12,32
68,3,3,3,3,13,33
69,4,4,4,4,0,34
70,5,5,5,5,1,35
71,0,0,0,6,2,36
72,1,1,1,7,3,37
73,2,2,2,8,4,38
74,3,3,3,9,5,39
75,4,4,4,10,6,40
76,5,5,5,0,7,41
77,0,0,6,1,8,42
78,1,1,0,2,9,0
79,2,2,1,3,10,1
80,3,3,2,4,11,2
81,4,4,3,5,12,3
82,0,0,4,6,13,4
83,1,1,5,7,0,5
84,2,2,6,8,1,6
85,3,3,0,9,2,7
86,4,4,1,10,3,8
87,5,5,2,0,4,9
88,0,0,3,1,5,10
89,1,1,4,2,6,11
90,2,2,5,3,7,12
91,3,3,0,4,8,13
92,4,4,1,5,9,14
93,5,5,2,6,10,15
94,0,0,3,7,11,16
95,1,1,0,8,12,17
96,2,2,1,0,13,18
97,3,3,2,1,14,19
98,4,4,0,2,0,20
99,0,0,1,3,1,21
100,1,1,2,4,2,22
101,2,2,3,5,3,23
102,3,3,0,6,4,24
103,4,4,1,7,5,25
104,5,5,2,8,6,26
105,0,0,3,9,7,27
106,1,1,4,0,8,28
107,2,2,0,1,9,29
108,3,3,1,2,10,30
109,4,4,2,3,11,31
110,5,5,3,4,12,32
111,6,6,4,5,0,33
112,0,0,5,6,1,34
113,1,1,0,7,2,0
114,2,2,1,8,3,1
115,3,3,2,9,4,2
116,4,4,3,10,5,3
117,5,5,4,11,6,4
118,0,0,5,0,7,5
119,1,1,0,1,8,6
120,2,2,1,2,9,7
121,3,3,2,3,10,8
122,4,4,3,4,11,9
123,0,0,4,5,12,10
124,1,1,5,6,13,11
125,2,2,0,7,14,12
126,3,3,1,8,0,13
127,4,4,2,9,1,14
128,5,5,3,0,2,15
129,0,0,4,1,3,16
130,1,1,5,2,4,17
131,2,2,6,3,5,0
132,3,3,0,4,6,1
133,4,4,1,5,0,2
134,5,5,2,6,1,3
135,6,6,3,7,2,4
136,0,0,4,8,3,5
137,1,1,5,9,4,6
138,2,2,6,10,5,7
139,3,3,0,0,6,0
140,4,4,1,1,7,1
141,5,5,2,2,0,2
142,0,0,3,3,1,3
