,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),0
703,2,1,1,0,0,0,1
704,0,0,1,0,0,0,0
705,0,0,1,1,0,0,1
706,1,1,1,0,1,0,0
707,1,1,1,0,1,0,0
708,0,0,1,1,0,0,0
709,0,0,0,0,0,0,1
710,1,1,0,0,0,0,0
711,0,0,1,0,0,0,1
712,1,0,1,1,0,0,0
713,1,1,1,1,0,0,0
714,1,1,1,0,0,0,0
715,0,0,0,0,1,0,1
716,1,1,1,0,0,0,0
717,1,1,1,0,1,0,0
718,1,1,0,1,0,0,0
719,1,1,1,1,0,1,0
720,0,0,1,1,0,1,0
721,0,0,1,1,0,1,0
722,1,1,1,0,0,0,0
723,1,1,0,1,0,0,0
724,0,0,1,0,0,0,1
725,0,0,1,1,0,0,0
726,0,1,0,0,0,0,0
727,0,0,0,0,0,1,0
728,1,1,0,0,1,0,1
729,0,1,1,0,0,0,1
730,0,0,0,0,1,0,1
731,1,1,1,0,0,0,1
732,1,1,0,0,0,0,0
733,1,1,1,0,0,0,0
734,1,1,1,0,0,0,1
735,1,1,1,0,0,0,0
736,1,1,1,1,0,0,0
737,1,1,1,1,0,0,0
738,1,1,1,0,0,0,0
739,1,1,1,0,0,1,0
740,1,1,1,0,0,0,0
741,0,0,1,0,0,0,1
742,1,1,1,0,0,0,1
743,1,1,1,0,0,0,0
744,0,0,1,0,0,0,0
745,1,1,0,0,0,1,1
746,0,0,0,0,0,0,0
747,0,0,0,1,0,0,1
748,0,0,0,0,0,0,1
749,1,1,1,0,0,0,1
750,0,0,1,1,0,0,0
751,1,1,0,1,0,0,1
752,1,1,1,0,0,0,0
753,0,0,0,1,1,0,0
754,1,1,1,0,1,0,0
755,1,1,1,0,0,0,0
756,0,0,0,0,0,0,1
757,1,1,1,0,0,1,0
758,1,1,0,1,0,0,0
759,0,0,1,1,1,0,1
760,1,1,1,1,1,1,0
761,1,1,1,1,0,0,0
762,0,0,0,0,0,0,1
763,0,0,0,0,0,0,1
764,1,1,1,1,0,0,0
765,0,0,1,0,1,0,0
766,1,1,1,0,0,0,0
767,0,0,1,1,1,0,0
768,1,1,0,0,0,0,0
769,0,0,1,0,0,0,1
770,1,1,1,1,0,0,0
771,1,1,1,0,1,1,1
772,1,1,1,0,0,0,0
773,1,1,1,0,1,0,0
774,1,1,1,0,0,0,0
775,0,0,0,0,0,0,1
776,0,0,0,0,1,0,1
777,1,1,0,1,0,0,0
778,0,0,1,1,0,1,1
779,1,1,0,1,0,0,0
780,1,1,0,0,1,0,0
781,2,1,1,0,1,0,0
782,1,1,1,0,0,0,1
783,1,1,0,1,0,0,1
784,0,0,0,0,1,0,0
785,1,1,1,0,0,1,0
786,1,2,0,0,1,1,0
787,0,0,0,0,0,0,1
