,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),0
379,1,0,1,1,0,1,1
380,1,1,1,0,0,0,0
381,1,0,0,0,0,0,1
382,1,1,1,1,0,0,0
383,0,1,0,1,0,0,1
384,0,0,0,0,0,0,1
385,1,1,1,1,0,0,1
386,1,0,1,0,0,0,1
387,1,1,1,1,0,1,0
388,1,1,0,1,1,0,0
389,1,1,1,0,1,0,0
390,0,0,0,1,1,0,1
391,0,0,0,1,0,0,0
392,0,0,1,0,0,0,1
393,1,1,0,0,0,0,0
394,1,1,0,0,1,0,1
395,1,1,0,1,0,0,0
396,0,0,0,1,0,0,1
397,1,1,1,1,1,0,0
398,1,1,1,0,0,0,0
399,0,0,0,0,0,1,0
400,1,1,1,1,0,0,0
401,0,0,1,0,0,1,1
402,0,0,0,1,0,0,1
403,1,1,0,1,0,1,1
404,1,1,0,0,1,0,0
405,1,1,1,1,1,1,0
406,1,1,0,0,0,0,0
407,0,0,1,0,0,0,1
408,0,0,1,0,1,0,0
409,1,1,1,0,1,1,0
410,2,1,0,0,0,0,1
411,1,1,1,1,0,0,0
412,0,1,0,1,0,0,1
413,0,0,0,0,0,0,1
414,0,0,0,0,0,0,0
415,0,0,0,0,0,0,1
416,1,1,0,1,0,0,0
417,0,0,1,0,0,0,0
418,1,1,0,0,0,0,0
419,1,1,0,1,0,0,0
420,1,1,1,0,0,1,0
421,1,1,0,0,1,0,0
422,1,1,1,1,1,0,0
423,1,1,0,0,1,0,0
424,0,0,1,0,0,0,1
425,0,0,0,1,0,0,0
426,0,0,1,1,0,0,0
427,0,0,1,0,0,0,0
428,0,0,0,0,0,0,1
429,0,0,0,0,1,0,1
430,1,1,1,0,0,0,0
431,0,0,0,0,0,0,1
432,1,1,1,0,1,0,1
433,1,1,1,1,0,0,0
434,0,0,0,1,0,0,1
435,1,1,1,0,0,0,0
436,1,1,0,0,0,0,1
437,1,1,1,0,0,0,0
438,0,0,0,1,0,0,0
439,1,1,0,1,1,0,0
440,0,0,0,1,1,0,1
441,1,1,1,0,0,0,0
442,0,0,1,1,0,0,0
443,1,1,1,1,0,0,0
444,1,0,0,0,0,0,1
445,0,1,0,0,1,0,0
446,1,1,1,0,0,0,0
447,0,0,0,0,0,0,1
448,1,1,0,0,0,0,1
449,1,1,1,1,0,0,0
450,1,1,1,0,0,0,0
451,0,0,0,0,0,0,1
452,1,1,1,0,1,1,0
453,1,1,0,0,1,0,0
454,0,0,1,0,0,1,1
455,0,0,1,0,1,0,0
456,1,1,0,0,0,0,0
457,1,1,0,0,1,0,0
458,0,0,1,1,0,0,0
459,1,1,1,0,0,1,0
460,0,0,1,0,0,1,1
461,0,1,0,1,0,0,1
462,1,1,0,0,0,0,1
463,1,1,1,0,1,0,0
464,1,1,1,0,0,0,0
465,1,1,1,0,0,0,1
466,1,1,0,0,0,0,1
467,1,1,1,1,0,0,0
468,0,0,1,0,0,0,1
469,0,0,0,1,0,0,1
470,0,0,0,0,0,0,0
471,1,1,1,0,1,0,0
472,1,1,1,0,0,0,0
473,0,0,1,1,0,0,1
474,0,0,1,1,0,1,1
475,1,0,1,1,1,0,0
476,0,0,0,0,0,0,1
477,1,1,0,0,0,0,0
478,1,1,1,1,1,1,0
479,1,1,1,0,0,0,0
480,1,1,1,0,0,0,0
481,1,1,0,1,1,0,1
482,1,1,1,0,0,1,0
483,0,0,1,0,0,0,1
484,0,0,0,0,0,0,0
485,1,1,1,0,1,0,0
486,1,1,0,1,0,0,1
487,1,0,1,0,0,0,1
488,1,1,0,0,0,0,1
489,0,0,1,0,1,1,1
490,0,0,1,0,0,0,0
491,1,2,1,1,1,0,0
492,1,1,1,1,1,0,0
493,1,1,0,0,0,0,1
494,0,0,0,0,0,0,0
495,0,0,0,0,1,0,1
496,1,1,1,0,0,0,1
497,1,0,0,0,0,0,1
498,1,1,1,0,0,0,0
499,1,1,1,0,1,0,0
500,0,0,0,1,1,0,0
501,1,1,1,0,0,0,1
502,1,1,0,1,1,0,0
503,0,0,1,1,0,0,0
504,0,0,0,0,1,0,0
505,0,0,0,0,1,0,0
506,0,0,0,0,1,1,0
507,1,1,1,0,0,1,1
508,0,0,1,0,1,1,1
509,1,1,1,0,0,1,0
510,0,0,0,1,0,0,0
511,0,0,0,1,0,0,1
512,1,1,0,1,0,0,0
513,0,0,0,1,0,0,0
514,1,1,1,0,0,0,0
515,1,1,1,0,0,0,1
516,1,1,1,0,0,0,1
517,1,1,0,0,0,0,0
518,0,0,1,0,0,0,1
519,1,1,1,0,0,0,0
520,1,0,1,1,0,0,1
521,1,1,1,0,0,0,0
522,1,1,1,0,0,0,0
523,0,0,0,0,0,0,0
524,1,1,1,0,0,0,0
525,0,1,0,1,0,0,0
526,0,0,1,1,0,0,1
527,1,1,1,0,0,1,0
528,1,1,1,0,0,0,0
529,1,1,0,0,1,0,0
530,0,0,1,0,0,0,0
531,0,0,0,0,1,0,1
