,,,,,,,,,,,,s1,s2,s3,s4,s5,s6
0,0,0,0,0,0,0,0,1,1,1,1,0.39649903854315616,0.39649903854315616,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0.24708414898967007,0.08572763760261293,0.22394886133179878,0.19114706700025408,0.1497448560012822,0.0847008280225598
0,0,0,0,0,0,0,1,0,0,0,1,0.06399979346418973,0.0,0.06956970274307735,0.13131410333732313,0.0,0.0
0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.2234130220466635,0.276089114272211,0.0,0.0
0,0,0,0,0,0,0,1,0,0,1,1,0.35846825396825394,0.0,0.1728968253968254,0.0,0.0,0.1728968253968254
0,0,0,0,0,0,0,1,0,1,0,0,0.21347630482527816,0.029403404956375917,0.1920086069009719,0.0,0.2681743487798994,0.04272696142346342
0,0,0,0,0,0,0,1,0,1,0,1,0.02803519061583578,0.0012121212121212121,0.010342410277894147,0.004857142857142857,0.01501466275659824,0.0018572825024437928
0,0,0,0,0,0,0,1,0,1,1,0,0.1992185592185592,0.0015384615384615385,0.20152625152625153,0.0,0.002307692307692308,0.0015384615384615385
0,0,0,0,0,0,0,1,0,1,1,1,0.2074920634920635,0.0,0.12018253968253967,0.0,0.0,0.05632539682539683
0,0,0,0,0,0,0,1,1,0,0,0,0.15907290705984806,0.09712399288282826,0.03797120876209671,0.0777535185795292,0.09633550615651444,0.021430043931280864
0,0,0,0,0,0,0,1,1,0,0,1,0.4626153748212572,0.0,0.0,0.1821964359170241,0.0,0.0
0,0,0,0,0,0,0,1,1,0,1,0,0.3244632034632034,0.0,0.0,0.48859956709956703,0.0,0.3244632034632034
0,0,0,0,0,0,0,1,1,0,1,1,0.26481142276730507,0.021356660231660232,0.006,0.21174790174054878,0.0,0.08345238095238094
0,0,0,0,0,0,0,1,1,1,0,0,0.35499773102714277,0.08430809713162656,0.0,0.0,0.08430809713162656,0.0
0,0,0,0,0,0,0,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,1,1,1,1,0,0.30992863345804517,0.043032039855569255,0.032857142857142856,0.13416666666666668,0.0413653731889026,0.10629886682518261
0,0,0,0,0,0,0,1,1,1,1,1,0.07690476190476189,0.03142857142857143,0.006666666666666666,0.04773809523809524,0.0,0.030238095238095238
0,0,0,0,0,0,1,0,0,0,0,0,0.12248030356775104,0.25996496225808224,0.3264711982858458,0.12944405302424733,0.07061787585111573,0.05322590059612414
0,0,0,0,0,0,1,0,0,0,0,1,0.31781421682892275,0.5042619178207414,0.22753157789922493,0.10762258003434474,0.08281930487812841,0.0
0,0,0,0,0,0,1,0,0,0,1,0,0.043935240641294976,0.3858490330898704,0.40526321084743594,0.03906271051147317,0.0,0.21734319078899855
